term,definition,domain
remobilize,"A practical English term meaning yeniden mobilize etmek, used in daily work-life communication.",general-english
workfront,"A practical English term meaning çalışma cephesi, used in daily work-life communication.",general-english
legacy,"A practical English term meaning eski sistem, used in daily work-life communication.",general-english
proprietary,"An adjective meaning “tescilli / üreticiye özel”, used to describe a condition, issue, status or requirement.",general-english
workaround,"A practical English term meaning geçici çözüm, used in daily work-life communication.",general-english
arc,"A hse term meaning ark, used in inspections, testing, safety or handover communication.",hse
extinguishing,"A hse term meaning söndürme, used in inspections, testing, safety or handover communication.",hse
flash,"A hse term meaning parlama / ark flaşı, used in inspections, testing, safety or handover communication.",hse
suppression,"A hse term meaning bastırma / söndürme, used in inspections, testing, safety or handover communication.",hse
particulate,"A hse term meaning partikül, used in inspections, testing, safety or handover communication.",hse
ultraviolet,"A hse term meaning ultraviyole, used in inspections, testing, safety or handover communication.",hse
hazardously,"An adverb meaning “tehlikeli şekilde”, used to describe how or when an action is done.",hse
inert,"A hse term meaning inert / tepkimeye girmeyen, used in inspections, testing, safety or handover communication.",hse
neutralization,"A hse term meaning nötrleştirme, used in inspections, testing, safety or handover communication.",hse
anti-panic,"An adjective meaning “panik önleyici”, used to describe a condition, issue, status or requirement.",hse
smokeproof,"A hse term meaning duman geçirmez, used in inspections, testing, safety or handover communication.",hse
control circuit safety,"A hse term meaning kontrol devre güvenlik, used in inspections, testing, safety or handover communication.",hse
fatality,"A hse term meaning ölümlü kaza, used in inspections, testing, safety or handover communication.",hse
faults electrical safety,"A hse term meaning faults elektriksel / elektrik güvenlik, used in inspections, testing, safety or handover communication.",hse
life safety loads,"A hse term meaning yaşam / can güvenlik loads, used in inspections, testing, safety or handover communication.",hse
absorber,"A mechanical term meaning sönümleyici / absorber, used in site, drawing, installation or coordination contexts.",mechanical
absorption,"A mechanical term meaning absorpsiyon / soğurma, used in site, drawing, installation or coordination contexts.",mechanical
aeration,"A mechanical term meaning havalandırma, used in site, drawing, installation or coordination contexts.",mechanical
aerodynamic,"An adjective meaning “aerodinamik”, used to describe a condition, issue, status or requirement.",mechanical
aspiration,"A mechanical term meaning emiş / aspirasyon, used in site, drawing, installation or coordination contexts.",mechanical
baffle,"A mechanical term meaning yönlendirici plaka / baffle, used in site, drawing, installation or coordination contexts.",mechanical
dehumidification,"A mechanical term meaning nem alma, used in site, drawing, installation or coordination contexts.",mechanical
dehumidify,"A mechanical term meaning nem almak, used in site, drawing, installation or coordination contexts.",mechanical
evaporator,"A mechanical term meaning evaporatör, used in site, drawing, installation or coordination contexts.",mechanical
plenum,"A mechanical term meaning plenum / hava boşluğu, used in site, drawing, installation or coordination contexts.",mechanical
pressurization,"A mechanical term meaning basınçlandırma, used in site, drawing, installation or coordination contexts.",mechanical
attenuating,"A mechanical term meaning sesi azaltan / zayıflatan, used in site, drawing, installation or coordination contexts.",mechanical
attenuator,"A mechanical term meaning susturucu / zayıflatıcı, used in site, drawing, installation or coordination contexts.",mechanical
bulkhead,"A mechanical term meaning bölme / perde, used in site, drawing, installation or coordination contexts.",mechanical
impeller,"A mechanical term meaning çark / pervane, used in site, drawing, installation or coordination contexts.",mechanical
orifice,"A mechanical term meaning orifis / delik, used in site, drawing, installation or coordination contexts.",mechanical
throttle,"A mechanical term meaning kısmak / gaz kelebeği, used in site, drawing, installation or coordination contexts.",mechanical
CRAC,CRAC is an acronym used in mechanical communication.,mechanical
CRAH,CRAH is an acronym used in mechanical communication.,mechanical
condensate,"A mechanical term meaning kondens / yoğuşma suyu, used in site, drawing, installation or coordination contexts.",mechanical
conditioning,"A mechanical term meaning iklimlendirme, used in site, drawing, installation or coordination contexts.",mechanical
counterpoise conductor,"A mechanical term meaning topraklama çevre iletkeni iletken, used in site, drawing, installation or coordination contexts.",mechanical
drive,"To drive something in a work, site or daily communication context.",mechanical
electromechanical,"An adjective meaning “elektromekanik”, used to describe a condition, issue, status or requirement.",mechanical
elevator cabin dimensions,"A mechanical term meaning asansör kabin dimensions, used in site, drawing, installation or coordination contexts.",mechanical
elevator landing doors,"A mechanical term meaning asansör kat durağı doors, used in site, drawing, installation or coordination contexts.",mechanical
elevator machine room,"A mechanical term meaning asansör makine odası, used in site, drawing, installation or coordination contexts.",mechanical
elevator monitoring system,"A mechanical term meaning asansör izleme sistemi, used in site, drawing, installation or coordination contexts.",mechanical
elevator shaft dimensions,"A mechanical term meaning asansör şaft / kuyu dimensions, used in site, drawing, installation or coordination contexts.",mechanical
engine,"A mechanical term meaning motor, used in site, drawing, installation or coordination contexts.",mechanical
fire pumps fans,"A mechanical term meaning yangın pumps fans, used in site, drawing, installation or coordination contexts.",mechanical
sheave,"A mechanical term meaning kasnak, used in site, drawing, installation or coordination contexts.",mechanical
sterilization,"A mechanical term meaning sterilizasyon, used in site, drawing, installation or coordination contexts.",mechanical
suspension,"A mechanical term meaning askı / süspansiyon, used in site, drawing, installation or coordination contexts.",mechanical
thermostatic,"An adjective meaning “termostatik”, used to describe a condition, issue, status or requirement.",mechanical
disengage,"A mechanical term meaning devreden çıkarmak / ayırmak, used in site, drawing, installation or coordination contexts.",mechanical
inertia,"A mechanical term meaning atalet, used in site, drawing, installation or coordination contexts.",mechanical
centrifugal,"An adjective meaning “santrifüj”, used to describe a condition, issue, status or requirement.",mechanical
acquisition,"A professional workplace term meaning edinim / satın alma, used in reports, meetings, emails or project coordination.",EngGen
budgetary,"An adjective meaning “bütçesel”, used to describe a condition, issue, status or requirement.",EngGen
commodity,"A professional workplace term meaning emtia / mal, used in reports, meetings, emails or project coordination.",EngGen
bespoke,"A professional workplace term meaning özel tasarım, used in reports, meetings, emails or project coordination.",EngGen
expedite,"A professional workplace term meaning hızlandırmak / süreci öne almak, used in reports, meetings, emails or project coordination.",EngGen
expediting,"A professional workplace term meaning tedarik süreci hızlandırma, used in reports, meetings, emails or project coordination.",EngGen
requisition,"A professional workplace term meaning talep / satın alma talebi, used in reports, meetings, emails or project coordination.",EngGen
amend,"A professional workplace term meaning tadil etmek / değiştirmek, used in reports, meetings, emails or project coordination.",EngGen
amendment,"An adjective meaning “tadil / değişiklik”, used to describe a condition, issue, status or requirement.",EngGen
breach,"A professional workplace term meaning ihlal, used in reports, meetings, emails or project coordination.",EngGen
commence,"A professional workplace term meaning başlamak, used in reports, meetings, emails or project coordination.",EngGen
commencement,"An adjective meaning “başlangıç”, used to describe a condition, issue, status or requirement.",EngGen
contractually,"An adverb meaning “sözleşmesel olarak”, used to describe how or when an action is done.",EngGen
customary,"An adjective meaning “alışılmış / geleneksel”, used to describe a condition, issue, status or requirement.",EngGen
deemed,"A professional workplace term meaning sayılmış / kabul edilmiş, used in reports, meetings, emails or project coordination.",EngGen
defensible,"An adjective meaning “savunulabilir”, used to describe a condition, issue, status or requirement.",EngGen
endorsement,"An adjective meaning “onay / destek yazısı”, used to describe a condition, issue, status or requirement.",EngGen
exclusively,"An adverb meaning “yalnızca / münhasıran”, used to describe how or when an action is done.",EngGen
incidental,"An adjective meaning “arızi / ikincil”, used to describe a condition, issue, status or requirement.",EngGen
liability,"A professional workplace term meaning sorumluluk / yükümlülük, used in reports, meetings, emails or project coordination.",EngGen
negligence,"A professional workplace term meaning ihmal, used in reports, meetings, emails or project coordination.",EngGen
precedence,"A professional workplace term meaning öncelik, used in reports, meetings, emails or project coordination.",EngGen
statutory,"A professional workplace term meaning yasal / mevzuata bağlı, used in reports, meetings, emails or project coordination.",EngGen
supplementary,"An adjective meaning “tamamlayıcı / ilave”, used to describe a condition, issue, status or requirement.",EngGen
undertake,"A professional workplace term meaning üstlenmek, used in reports, meetings, emails or project coordination.",EngGen
wherein,"A professional workplace term meaning içinde / burada, used in reports, meetings, emails or project coordination.",EngGen
demarcation,"A professional workplace term meaning sınır / ayrım çizgisi, used in reports, meetings, emails or project coordination.",EngGen
mutually,"An adverb meaning “karşılıklı olarak”, used to describe how or when an action is done.",EngGen
ambiguity,"A professional workplace term meaning belirsizlik / muğlaklık, used in reports, meetings, emails or project coordination.",EngGen
ambiguous,"An adjective meaning “belirsiz / muğlak”, used to describe a condition, issue, status or requirement.",EngGen
expandability,"A professional workplace term meaning genişleyebilirlik, used in reports, meetings, emails or project coordination.",EngGen
accountability,"A professional workplace term meaning sorumluluk / hesap verebilirlik, used in reports, meetings, emails or project coordination.",EngGen
adaptability,"A professional workplace term meaning uyarlanabilirlik, used in reports, meetings, emails or project coordination.",EngGen
answerable,"An adjective meaning “sorumlu / cevap verebilir”, used to describe a condition, issue, status or requirement.",EngGen
bureaucracy,"A professional workplace term meaning bürokrasi, used in reports, meetings, emails or project coordination.",EngGen
decisive,"An adjective meaning “belirleyici”, used to describe a condition, issue, status or requirement.",EngGen
diligent,"An adjective meaning “özenli / çalışkan”, used to describe a condition, issue, status or requirement.",EngGen
governance,"A professional workplace term meaning yönetişim, used in reports, meetings, emails or project coordination.",EngGen
consensus,"A professional workplace term meaning uzlaşı, used in reports, meetings, emails or project coordination.",EngGen
anticipate,"A professional workplace term meaning öngörmek, used in reports, meetings, emails or project coordination.",EngGen
anticipation,"A professional workplace term meaning öngörü, used in reports, meetings, emails or project coordination.",EngGen
effectiveness,"A professional workplace term meaning etkinlik / verimlilik, used in reports, meetings, emails or project coordination.",EngGen
maintainability,"A professional workplace term meaning bakım yapılabilirlik, used in reports, meetings, emails or project coordination.",EngGen
mission,"A professional workplace term meaning kritik görev / misyon, used in reports, meetings, emails or project coordination.",EngGen
strategic,"An adjective meaning “stratejik”, used to describe a condition, issue, status or requirement.",EngGen
chronology,"A professional workplace term meaning kronoloji / olay sırası, used in reports, meetings, emails or project coordination.",EngGen
respectively,"An adverb meaning “sırasıyla”, used to describe how or when an action is done.",EngGen
ultimate,"A professional workplace term meaning nihai, used in reports, meetings, emails or project coordination.",EngGen
adverse,"A professional workplace term meaning olumsuz, used in reports, meetings, emails or project coordination.",EngGen
contingency,"A professional workplace term meaning beklenmedik durum payı / yedek plan, used in reports, meetings, emails or project coordination.",EngGen
criticality,"A professional workplace term meaning kritiklik, used in reports, meetings, emails or project coordination.",EngGen
foresee,"A professional workplace term meaning öngörmek, used in reports, meetings, emails or project coordination.",EngGen
foreseeable,"An adjective meaning “öngörülebilir”, used to describe a condition, issue, status or requirement.",EngGen
superintendent,"An adjective meaning “saha amiri / süperintendent”, used to describe a condition, issue, status or requirement.",EngGen
alliance,"A professional workplace term meaning ittifak / iş birliği, used in reports, meetings, emails or project coordination.",EngGen
a-type inspection body,"A qa qc term meaning a-type kontrol / muayene gövde / beden, used in inspections, testing, safety or handover communication.",EngGen
acceptability,"A qa qc term meaning kabul edilebilirlik, used in inspections, testing, safety or handover communication.",EngGen
anomaly,"An adverb meaning “anomali / olağandışı durum”, used to describe how or when an action is done.",EngGen
degradation,"A qa qc term meaning bozulma / değer kaybı, used in inspections, testing, safety or handover communication.",EngGen
demonstrable,"An adjective meaning “gösterilebilir / kanıtlanabilir”, used to describe a condition, issue, status or requirement.",EngGen
discrepancy,"A qa qc term meaning uyuşmazlık / tutarsızlık, used in inspections, testing, safety or handover communication.",EngGen
remedial,"An adjective meaning “düzeltici”, used to describe a condition, issue, status or requirement.",EngGen
adhere,"A qa qc term meaning uymak / bağlı kalmak, used in inspections, testing, safety or handover communication.",EngGen
adherence,"A qa qc term meaning uyum / bağlılık, used in inspections, testing, safety or handover communication.",EngGen
conformance,"A qa qc term meaning uygunluk, used in inspections, testing, safety or handover communication.",EngGen
permissible,"An adjective meaning “izin verilen”, used to describe a condition, issue, status or requirement.",EngGen
withstand,"A qa qc term meaning dayanmak, used in inspections, testing, safety or handover communication.",EngGen
lightning,"A electrical term meaning yıldırım, used in site, drawing, installation or coordination contexts.",electrical
counterpoise,"A electrical term meaning topraklama çevre iletkeni, used in site, drawing, installation or coordination contexts.",electrical
cascade,"A practical English term meaning kademelenme / basınç kaskadı, used in daily work-life communication.",general-english
immersed,"A practical English term meaning daldırılmış, used in daily work-life communication.",general-english
marine,"A practical English term meaning deniz tipi, used in daily work-life communication.",general-english
intrinsically,"An adverb meaning “doğası gereği”, used to describe how or when an action is done.",hse
arbitration,"A professional workplace term meaning tahkim, used in reports, meetings, emails or project coordination.",EngGen
arbitrator,"A professional workplace term meaning hakem, used in reports, meetings, emails or project coordination.",EngGen
indemnity,"A professional workplace term meaning tazmin / tazminat yükümlülüğü, used in reports, meetings, emails or project coordination.",EngGen
litigation,"A professional workplace term meaning dava / hukuki süreç, used in reports, meetings, emails or project coordination.",EngGen
overcurrent relay,"An electrical engineering term meaning aşırı akım rölesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
earth fault relay,"An electrical engineering term meaning toprak arıza rölesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
circuit breaker trip,"An electrical engineering term meaning devre kesici açması, used in protection contexts on site, in drawings or in technical documentation.",electrical
trip setting,"An electrical engineering term meaning açma ayarı, used in protection contexts on site, in drawings or in technical documentation.",electrical
backup protection,"An electrical engineering term meaning yedek koruma, used in protection contexts on site, in drawings or in technical documentation.",electrical
primary protection,"An electrical engineering term meaning birincil koruma, used in protection contexts on site, in drawings or in technical documentation.",electrical
protection relay burden,"An electrical engineering term meaning koruma rölesi yükü, used in protection contexts on site, in drawings or in technical documentation.",electrical
protection scheme,"An electrical engineering term meaning koruma şeması, used in protection contexts on site, in drawings or in technical documentation.",electrical
fuse coordination,"An electrical engineering term meaning sigorta koordinasyonu, used in protection contexts on site, in drawings or in technical documentation.",electrical
instantaneous trip,"An electrical engineering term meaning ani açma, used in protection contexts on site, in drawings or in technical documentation.",electrical
differential relay,"An electrical engineering term meaning diferansiyel röle, used in protection contexts on site, in drawings or in technical documentation.",electrical
distance relay,"An electrical engineering term meaning mesafe rölesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
relay coordination,"An electrical engineering term meaning röle koordinasyonu, used in protection contexts on site, in drawings or in technical documentation.",electrical
pickup current,"An electrical engineering term meaning çekme akımı, used in protection contexts on site, in drawings or in technical documentation.",electrical
time-current curve,"An electrical engineering term meaning zaman-akım eğrisi, used in protection contexts on site, in drawings or in technical documentation.",electrical
grading margin,"An electrical engineering term meaning kademeleme payı, used in protection contexts on site, in drawings or in technical documentation.",electrical
zone of protection,"An electrical engineering term meaning koruma bölgesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
relay setting sheet,"An electrical engineering term meaning röle ayar çizelgesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
autoreclose,"An electrical engineering term meaning otomatik yeniden kapama, used in protection contexts on site, in drawings or in technical documentation.",electrical
discrimination,"An electrical engineering term meaning ayırt etme (koruma), used in protection contexts on site, in drawings or in technical documentation.",electrical
fault clearance time,"An electrical engineering term meaning arıza giderme süresi, used in protection contexts on site, in drawings or in technical documentation.",electrical
setting group,"An electrical engineering term meaning ayar grubu, used in protection contexts on site, in drawings or in technical documentation.",electrical
protective relay,"An electrical engineering term meaning koruma rölesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
prospective fault current,"An electrical engineering term meaning olası arıza akımı, used in protection contexts on site, in drawings or in technical documentation.",electrical
short circuit current,"An electrical engineering term meaning kısa devre akımı, used in protection contexts on site, in drawings or in technical documentation.",electrical
current transformer,"An electrical engineering term meaning akım trafosu, used in protection contexts on site, in drawings or in technical documentation.",electrical
voltage transformer,"An electrical engineering term meaning gerilim trafosu, used in protection contexts on site, in drawings or in technical documentation.",electrical
protection relay testing,"An electrical engineering term meaning koruma rölesi testi, used in protection contexts on site, in drawings or in technical documentation.",electrical
trip coil,"An electrical engineering term meaning açma bobini, used in protection contexts on site, in drawings or in technical documentation.",electrical
protection coordination study,"An electrical engineering term meaning koruma koordinasyon etüdü, used in protection contexts on site, in drawings or in technical documentation.",electrical
restricted earth fault,"An electrical engineering term meaning sınırlı toprak arızası, used in protection contexts on site, in drawings or in technical documentation.",electrical
bus zone protection,"An electrical engineering term meaning bara koruma bölgesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
breaker failure protection,"An electrical engineering term meaning kesici arıza koruması, used in protection contexts on site, in drawings or in technical documentation.",electrical
IDMT relay,"An electrical engineering term meaning ters zamanlı aşırı akım rölesi, used in protection contexts on site, in drawings or in technical documentation.",electrical
numerical relay,"An electrical engineering term meaning sayısal röle, used in protection contexts on site, in drawings or in technical documentation.",electrical
electromechanical relay,"An electrical engineering term meaning elektromekanik röle, used in protection contexts on site, in drawings or in technical documentation.",electrical
load center,"An electrical engineering term meaning yük merkezi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
power contactor,"An electrical engineering term meaning güç kontaktörü, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
current-limiting circuit breaker,"An electrical engineering term meaning akım sınırlayıcı devre kesici, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
load interrupter switch,"An electrical engineering term meaning yük kesme ayırıcısı, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
isolator switch,"An electrical engineering term meaning izolasyon şalteri, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
fused switch,"An electrical engineering term meaning sigortalı şalter, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
rated voltage,"An electrical engineering term meaning anma gerilimi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
rated current,"An electrical engineering term meaning anma akımı, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
panel directory,"An electrical engineering term meaning pano dizin listesi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
load break switch,"An electrical engineering term meaning yük kesme şalteri, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
busbar chamber,"An electrical engineering term meaning bara bölmesi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
switchgear cubicle,"An electrical engineering term meaning şalt hücresi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
interlocking system,"An electrical engineering term meaning kilitleme sistemi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
breaking capacity,"An electrical engineering term meaning kesme kapasitesi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
switchgear compartment,"An electrical engineering term meaning şalt gözü, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
feeder pillar,"An electrical engineering term meaning besleme direği, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
withdrawable breaker,"An electrical engineering term meaning çekmeceli kesici, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
fixed pattern switchgear,"An electrical engineering term meaning sabit tip şalt cihazı, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
metal-clad switchgear,"An electrical engineering term meaning metal muhafazalı şalt tesisi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
gas-insulated switchgear,"An electrical engineering term meaning gaz izoleli şalt tesisi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
air-insulated switchgear,"An electrical engineering term meaning hava izoleli şalt tesisi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
making capacity,"An electrical engineering term meaning kapatma kapasitesi, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
draw-out module,"An electrical engineering term meaning çıkarılabilir modül, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
arc-resistant switchgear,"An electrical engineering term meaning ark dayanımlı şalt cihazı, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
short-time withstand current,"An electrical engineering term meaning kısa süreli dayanım akımı, used in switchgear contexts on site, in drawings or in technical documentation.",electrical
step-up transformer,"An electrical engineering term meaning yükseltici transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
step-down transformer,"An electrical engineering term meaning alçaltıcı transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
pad-mounted transformer,"An electrical engineering term meaning yer tipi transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
generator step-up transformer,"An electrical engineering term meaning jeneratör yükseltici transformatörü, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer oil,"An electrical engineering term meaning transformatör yağı, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer rating plate,"An electrical engineering term meaning transformatör etiket levhası, used in transformers contexts on site, in drawings or in technical documentation.",electrical
epoxy resin transformer,"An electrical engineering term meaning epoksi reçine transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
oil-immersed transformer,"An electrical engineering term meaning yağ tipi transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer tap,"An electrical engineering term meaning transformatör kademesi, used in transformers contexts on site, in drawings or in technical documentation.",electrical
tap changer,"An electrical engineering term meaning kademe değiştirici, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer winding,"An electrical engineering term meaning transformatör sargısı, used in transformers contexts on site, in drawings or in technical documentation.",electrical
primary winding,"An electrical engineering term meaning birincil sargı, used in transformers contexts on site, in drawings or in technical documentation.",electrical
secondary winding,"An electrical engineering term meaning ikincil sargı, used in transformers contexts on site, in drawings or in technical documentation.",electrical
auto-transformer,"An electrical engineering term meaning oto-transformatör, used in transformers contexts on site, in drawings or in technical documentation.",electrical
on-load tap changer,"An electrical engineering term meaning yükte kademe değiştirici, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer bushing,"An electrical engineering term meaning transformatör buşingi, used in transformers contexts on site, in drawings or in technical documentation.",electrical
no-load loss,"An electrical engineering term meaning boşta çalışma kaybı, used in transformers contexts on site, in drawings or in technical documentation.",electrical
load loss,"An electrical engineering term meaning yükte kayıp, used in transformers contexts on site, in drawings or in technical documentation.",electrical
vector group,"An electrical engineering term meaning vektör grubu, used in transformers contexts on site, in drawings or in technical documentation.",electrical
impedance voltage,"An electrical engineering term meaning empedans gerilimi, used in transformers contexts on site, in drawings or in technical documentation.",electrical
transformer core,"An electrical engineering term meaning transformatör nüvesi, used in transformers contexts on site, in drawings or in technical documentation.",electrical
rotor,"An electrical engineering term meaning rotor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
stator,"An electrical engineering term meaning stator, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
torque,"An electrical engineering term meaning tork, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor nameplate,"An electrical engineering term meaning motor etiketi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
induction motor,"An electrical engineering term meaning asenkron motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
synchronous motor,"An electrical engineering term meaning senkron motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor starter,"An electrical engineering term meaning motor yol vericisi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
direct online starter,"An electrical engineering term meaning direkt yol verme, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
star-delta starter,"An electrical engineering term meaning yıldız-üçgen yol verici, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
soft starter,"An electrical engineering term meaning yumuşak yol verici, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor winding,"An electrical engineering term meaning motor sargısı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
full load current,"An electrical engineering term meaning tam yük akımı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor efficiency,"An electrical engineering term meaning motor verimi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
rated speed,"An electrical engineering term meaning anma hızı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
servo motor,"An electrical engineering term meaning servo motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
stepper motor,"An electrical engineering term meaning step motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor bearing,"An electrical engineering term meaning motor yatağı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor overload,"An electrical engineering term meaning motor aşırı yükü, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
thermal overload relay,"An electrical engineering term meaning termik aşırı yük rölesi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
variable frequency drive,"An electrical engineering term meaning değişken frekanslı sürücü, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor control center,"An electrical engineering term meaning motor kontrol merkezi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
motor protection relay,"An electrical engineering term meaning motor koruma rölesi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
slip ring,"An electrical engineering term meaning bilezik, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
squirrel cage motor,"An electrical engineering term meaning sincap kafesli motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
brushless DC motor,"An electrical engineering term meaning fırçasız DC motor, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
locked rotor current,"An electrical engineering term meaning kilitli rotor akımı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
winding insulation class,"An electrical engineering term meaning sargı yalıtım sınıfı, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
duty cycle,"An electrical engineering term meaning çalışma çevrimi, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
synchronous speed,"An electrical engineering term meaning senkron hız, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
pole pair,"An electrical engineering term meaning kutup çifti, used in motors & drives contexts on site, in drawings or in technical documentation.",electrical
diode,"An electrical engineering term meaning diyot, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
bridge rectifier,"An electrical engineering term meaning köprü doğrultucu, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
central inverter,"An electrical engineering term meaning merkezi invertör, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
converter,"An electrical engineering term meaning dönüştürücü, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
heat sink,"An electrical engineering term meaning soğutucu blok, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
power module,"An electrical engineering term meaning güç modülü, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
thyristor,"An electrical engineering term meaning tristör, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
power factor correction,"An electrical engineering term meaning güç faktörü düzeltme, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
harmonic filter,"An electrical engineering term meaning harmonik filtre, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
solid-state relay,"An electrical engineering term meaning katı hal rölesi, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
semiconductor device,"An electrical engineering term meaning yarı iletken cihaz, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
three-phase rectifier,"An electrical engineering term meaning üç fazlı doğrultucu, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
IGBT,"An electrical engineering term meaning yalıtımlı kapılı bipolar transistör (IGBT), used in power electronics contexts on site, in drawings or in technical documentation.",electrical
MOSFET,"An electrical engineering term meaning MOSFET, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
pulse width modulation,"An electrical engineering term meaning darbe genişlik modülasyonu, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
switching frequency,"An electrical engineering term meaning anahtarlama frekansı, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
DC link,"An electrical engineering term meaning DC bara, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
buck converter,"An electrical engineering term meaning düşürücü dönüştürücü, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
boost converter,"An electrical engineering term meaning yükseltici dönüştürücü, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
switching loss,"An electrical engineering term meaning anahtarlama kaybı, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
conduction loss,"An electrical engineering term meaning iletim kaybı, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
snubber circuit,"An electrical engineering term meaning snubber devresi, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
gate drive circuit,"An electrical engineering term meaning kapı sürme devresi, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
freewheeling diode,"An electrical engineering term meaning serbest dönüş diyodu, used in power electronics contexts on site, in drawings or in technical documentation.",electrical
