id,term,normalizedTerm,turkishMeaning,cefrLevel,domain,contentDomain,lifeContext,register,primaryUseCase,category,termType,partOfSpeech,wordCount,definition,exampleSentence,turkishExample,relatedTerms,commonMistakes,grammarFits,skillUse,tags,source,confidence,status,importTier,isCore,isTechnical,isProfessionalPhrase,isContractual,isDailySiteEnglish,isLifeWideEnglish,reviewReason,variantOf,grammarDomainAlias,qcRepairNotes
vocab_general_english_b2_0056,protection of buildings,protection of buildings,koruma of buildings,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “koruma of buildings”, used in realistic EngineerOS work-life contexts.",She used the word protection of buildings in a clear sentence.,Bu kelimeyi açık bir cümlede koruma of buildings anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “protection of buildings”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0055,power failure,power failure,güç arıza / başarısızlık,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “güç arıza / başarısızlık”, used in realistic EngineerOS work-life contexts.",Please write the word power failure clearly in your notes.,Lütfen notlarına güç arıza kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “power failure”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0054,power distribution,power distribution,güç dağıtım,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “güç dağıtım”, used in realistic EngineerOS work-life contexts.",The power distribution was important in the short discussion.,Kısa görüşmede güç dağıtım önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “power distribution”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0053,power circuit,power circuit,güç devre,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “güç devre”, used in realistic EngineerOS work-life contexts.",He mentioned the power circuit while explaining the problem.,Problemi açıklarken güç devre konusundan bahsetti.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “power circuit”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0052,positioning control circuit,positioning control circuit,positioning kontrol devre,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “positioning kontrol devre”, used in realistic EngineerOS work-life contexts.",The positioning control circuit came up during a normal conversation.,Positioning kontrol devre konusu günlük bir konuşmada geçti.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “positioning control circuit”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0051,occupant sensor controls,occupant sensor controls,kullanıcı / bina sakini sensör controls,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “kullanıcı / bina sakini sensör controls”, used in realistic EngineerOS work-life contexts.",The meaning of occupant sensor controls was clear from the context.,Kullanıcı anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “occupant sensor controls”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0050,nurse consoles control,nurse consoles control,hemşire consoles kontrolü,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “hemşire consoles kontrolü”, used in realistic EngineerOS work-life contexts.",She used the word nurse consoles control in a clear sentence.,Bu kelimeyi açık bir cümlede hemşire consoles kontrolü anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “nurse consoles control”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0049,motor control center,motor control center,motor kontrol merkezi,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “motor kontrol merkezi”, used in realistic EngineerOS work-life contexts.",Please write the word motor control center clearly in your notes.,Lütfen notlarına motor kontrol merkezi kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “motor control center”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0048,motion sensor,motion sensor,hareket sensörü,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “hareket sensörü”, used in realistic EngineerOS work-life contexts.",The motion sensor was important in the short discussion.,Kısa görüşmede hareket sensörü önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “motion sensor”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0047,monitoring module,monitoring module,izleme modülü,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “izleme modülü”, used in realistic EngineerOS work-life contexts.",He mentioned the monitoring module while explaining the problem.,Problemi açıklarken izleme modülü konusundan bahsetti.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “monitoring module”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0596,MOM,mom,MOM / toplantı tutanağı,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,acronym,acronym,1,"An acronym used in engineering, workplace or project communication contexts.",The MOM is important for clear communication at work.,"MOM, iş yerinde net iletişim için önemlidir.","work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “MOM”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","acronym, b1, b2, engineeros, general, general-english, general-english-site-communication, general-site",Source extract: eng.xlsx + Final QC life-wide normalization,0.91,approved,daily_site_english,False,False,False,False,True,True,general English item kept for life-wide communication,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level
vocab_health_daily_a2_0006,medical patient,medical patient,medikal hasta,A2,general-english,general,hospital,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A daily-life expression meaning “medikal hasta”, used in realistic EngineerOS work-life contexts.",Please ask the clinic staff about the medical patient.,Lütfen klinik personeline medikal hasta hakkında sorun.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “medical patient”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","listening, speaking, vocabulary","a2, b2, daily-life, engineeros, general-english-site-communication, general-site, health-daily, two_word_term, transferred-to-general",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired | domain_merged_to_general
vocab_general_english_b2_0046,mechanical protection,mechanical protection,mekanik koruması,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “mekanik koruması”, used in realistic EngineerOS work-life contexts.",She used the word mechanical protection in a clear sentence.,Bu kelimeyi açık bir cümlede mekanik koruması anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “mechanical protection”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0045,mechanical plant,mechanical plant,mekanik tesis / santral,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “mekanik tesis / santral”, used in realistic EngineerOS work-life contexts.",Please write the word mechanical plant clearly in your notes.,Lütfen notlarına mekanik tesis kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “mechanical plant”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0044,mechanical calculations,mechanical calculations,mekanik calculations,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “mekanik calculations”, used in realistic EngineerOS work-life contexts.",The mechanical calculations was important in the short discussion.,Kısa görüşmede mekanik calculations önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “mechanical calculations”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0171,main transformer,main transformer,ana trafo,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning ana trafo, used in site, drawing, installation or coordination contexts.",Please check the main transformer before the next inspection.,Lütfen bir sonraki muayeneden önce ana trafo kontrol edin.,"power, cable, panel, protection, testing","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “main transformer”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_electrical_b1_0170,main switchboard,main switchboard,ana pano,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning ana pano, used in site, drawing, installation or coordination contexts.",Please compare the main switchboard with the approved electrical drawing.,Lütfen ana pano onaylı elektrik çizimiyle karşılaştırın.,"power, cable, panel, protection, testing","Do not use this term for every similar item; confirm the exact component or activity. For “main switchboard”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0169,main service switchboard,main service switchboard,ana servis / hizmet ana pano / şalt panosu,B1,electrical,engineering,site,technical,site-task,electrical systems,three_word_term,multiword_term,3,"A electrical term meaning ana servis / hizmet ana pano / şalt panosu, used in site, drawing, installation or coordination contexts.",The main service switchboard was checked during the electrical walkdown.,Elektrik saha kontrolü sırasında ana servis kontrol edildi.,"power, cable, panel, protection, testing","Do not translate this word alone without checking the drawing, system or site context. For “main service switchboard”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0167,low voltage,low voltage,alçak gerilim,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning alçak gerilim, used in site, drawing, installation or coordination contexts.",The low voltage must be confirmed before the work continues.,İşe devam etmeden önce alçak gerilim teyit edilmelidir.,"power, cable, panel, protection, testing","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “low voltage”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_electrical_b1_0166,low noise grounding,low noise grounding,alçak gürültü topraklama,B1,electrical,engineering,site,technical,site-task,electrical systems,three_word_term,multiword_term,3,"A electrical term meaning alçak gürültü topraklama, used in site, drawing, installation or coordination contexts.",Please check the low noise grounding before the next inspection.,Lütfen bir sonraki muayeneden önce alçak gürültü topraklama kontrol edin.,"power, cable, panel, protection, testing","Do not use this term for every similar item; confirm the exact component or activity. For “low noise grounding”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_electrical_b1_0165,low current,low current,alçak akım,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning alçak akım, used in site, drawing, installation or coordination contexts.",The low current must be ready before functional testing starts.,Fonksiyon testi başlamadan önce alçak akım hazır olmalıdır.,"power, cable, panel, protection, testing","Do not translate this word alone without checking the drawing, system or site context. For “low current”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0164,lighting zones,lighting zones,aydınlatma zones,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning aydınlatma zones, used in site, drawing, installation or coordination contexts.",Please compare the lighting zones with the approved electrical drawing.,Lütfen aydınlatma zones onaylı elektrik çizimiyle karşılaştırın.,"power, cable, panel, protection, testing","Check whether the term refers to installation, inspection, testing or documentation before using it. For “lighting zones”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0066,water storage,water storage,su depolama,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “su depolama”, used in realistic EngineerOS work-life contexts.",The water storage came up during a normal conversation.,Su depolama konusu günlük bir konuşmada geçti.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “water storage”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0065,water isolation,water isolation,su izolasyon / ayırma,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “su izolasyon / ayırma”, used in realistic EngineerOS work-life contexts.",The meaning of water isolation was clear from the context.,Su izolasyon anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “water isolation”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0064,variable frequency drive,variable frequency drive,değişken frekans drive,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “değişken frekans drive”, used in realistic EngineerOS work-life contexts.",She used the word variable frequency drive in a clear sentence.,Bu kelimeyi açık bir cümlede değişken frekans drive anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “variable frequency drive”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0063,unit load,unit load,ünite / birim yük,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “ünite / birim yük”, used in realistic EngineerOS work-life contexts.",Please write the word unit load clearly in your notes.,Lütfen notlarına ünite kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “unit load”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0062,total load calculation,total load calculation,total yük hesabı,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “total yük hesabı”, used in realistic EngineerOS work-life contexts.",The total load calculation was important in the short discussion.,Kısa görüşmede total yük hesabı önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “total load calculation”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0061,total demand load,total demand load,total talep / yük talebi yük,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “total talep / yük talebi yük”, used in realistic EngineerOS work-life contexts.",He mentioned the total demand load while explaining the problem.,Problemi açıklarken total talep konusundan bahsetti.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “total demand load”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0059,speed unit,speed unit,hız ünite / birim,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “hız ünite / birim”, used in realistic EngineerOS work-life contexts.",She used the word speed unit in a clear sentence.,Bu kelimeyi açık bir cümlede hız ünite anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “speed unit”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",Source extract: Elevator Spesification.docx + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b2_0058,small power distribution,small power distribution,small güç dağıtım,B2,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “small güç dağıtım”, used in realistic EngineerOS work-life contexts.",Please write the word small power distribution clearly in your notes.,Lütfen notlarına small güç dağıtım kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “small power distribution”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b2, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",Source extract: BMH164-LBC-ZZ-XX-RP-E-6102(1).pdf + Final QC life-wide normalization,0.91,approved,extended_vocabulary,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
