term,definition,category
try again,"A software term meaning tekrar dene, used in site, drawing, installation or coordination contexts.",debugging
warning message,"A software term meaning uyarı mesajı, used in site, drawing, installation or coordination contexts.",debugging
logging level,"A software term meaning günlükleme seviyesi, used in site, drawing, installation or coordination contexts.",debugging
error propagation,"A software term meaning hata yayılımı, used in site, drawing, installation or coordination contexts.",debugging
fix a bug,"A software term meaning hatayı düzeltme, used in site, drawing, installation or coordination contexts.",debugging
retry,"A software term meaning yeniden deneme, used in site, drawing, installation or coordination contexts.",debugging
deploy,"A software term meaning dağıtma (deploy), used in site, drawing, installation or coordination contexts.",devops cicd
application server,"A software term meaning uygulama sunucusu, used in site, drawing, installation or coordination contexts.",devops cicd
continuous integration,"A software term meaning sürekli entegrasyon, used in site, drawing, installation or coordination contexts.",devops cicd
continuous deployment,"A software term meaning sürekli dağıtım, used in site, drawing, installation or coordination contexts.",devops cicd
build pipeline,"A software term meaning derleme hattı (pipeline), used in site, drawing, installation or coordination contexts.",devops cicd
automated build,"A software term meaning otomatik derleme, used in site, drawing, installation or coordination contexts.",devops cicd
staging environment,"A software term meaning hazırlık ortamı, used in site, drawing, installation or coordination contexts.",devops cicd
production environment,"A software term meaning canlı ortam (production), used in site, drawing, installation or coordination contexts.",devops cicd
rollback,"A software term meaning geri alma (rollback), used in site, drawing, installation or coordination contexts.",devops cicd
release management,"A software term meaning sürüm yönetimi, used in site, drawing, installation or coordination contexts.",devops cicd
configuration management,"A software term meaning yapılandırma yönetimi, used in site, drawing, installation or coordination contexts.",devops cicd
infrastructure as code,"A software term meaning kod olarak altyapı, used in site, drawing, installation or coordination contexts.",devops cicd
CI/CD pipeline,"A software term meaning CI/CD hattı, used in site, drawing, installation or coordination contexts.",devops cicd
blue-green deployment,"A software term meaning mavi-yeşil dağıtım, used in site, drawing, installation or coordination contexts.",devops cicd
canary release,"A software term meaning canary sürümü, used in site, drawing, installation or coordination contexts.",devops cicd
feature flag,"A software term meaning özellik bayrağı (feature flag), used in site, drawing, installation or coordination contexts.",devops cicd
build artifact,"A software term meaning derleme çıktısı (artifact), used in site, drawing, installation or coordination contexts.",devops cicd
automated deployment script,"A software term meaning otomatik dağıtım betiği, used in site, drawing, installation or coordination contexts.",devops cicd
pipeline as code,"A software term meaning kod olarak hat (pipeline as code), used in site, drawing, installation or coordination contexts.",devops cicd
deployment automation,"A software term meaning dağıtım otomasyonu, used in site, drawing, installation or coordination contexts.",devops cicd
environment variable,"A software term meaning ortam değişkeni, used in site, drawing, installation or coordination contexts.",devops cicd
secrets management,"A software term meaning gizli bilgi yönetimi, used in site, drawing, installation or coordination contexts.",devops cicd
GitOps workflow,"A software term meaning GitOps iş akışı, used in site, drawing, installation or coordination contexts.",devops cicd
immutable infrastructure,"A software term meaning değişmez altyapı, used in site, drawing, installation or coordination contexts.",devops cicd
progressive delivery,"A software term meaning kademeli teslimat, used in site, drawing, installation or coordination contexts.",devops cicd
deployment frequency metric,"A software term meaning dağıtım sıklığı metriği, used in site, drawing, installation or coordination contexts.",devops cicd
site reliability engineering,"A software term meaning site güvenilirliği mühendisliği, used in site, drawing, installation or coordination contexts.",devops cicd
rolling update,"A software term meaning kademeli güncelleme, used in site, drawing, installation or coordination contexts.",devops cicd
automation script,"A software term meaning otomasyon betiği, used in site, drawing, installation or coordination contexts.",devops cicd
build server,"A software term meaning derleme sunucusu, used in site, drawing, installation or coordination contexts.",devops cicd
deployment pipeline orchestration,"A software term meaning dağıtım hattı orkestrasyonu, used in site, drawing, installation or coordination contexts.",devops cicd
version tag,"A software term meaning sürüm etiketi, used in site, drawing, installation or coordination contexts.",devops cicd
artifact repository,"A software term meaning çıktı deposu, used in site, drawing, installation or coordination contexts.",devops cicd
infrastructure drift,"A software term meaning altyapı sapması, used in site, drawing, installation or coordination contexts.",devops cicd
automated rollout,"A software term meaning otomatik yayılım, used in site, drawing, installation or coordination contexts.",devops cicd
cloud storage,"A software term meaning bulut depolama, used in site, drawing, installation or coordination contexts.",cloud computing
colocation facility,"A software term meaning ortak yerleşim tesisi (colocation), used in site, drawing, installation or coordination contexts.",cloud computing
cloud computing,"A software term meaning bulut bilişim, used in site, drawing, installation or coordination contexts.",cloud computing
virtual machine,"A software term meaning sanal makine, used in site, drawing, installation or coordination contexts.",cloud computing
cloud provider,"A software term meaning bulut sağlayıcısı, used in site, drawing, installation or coordination contexts.",cloud computing
data center,"A software term meaning veri merkezi (bulut), used in site, drawing, installation or coordination contexts.",cloud computing
elastic scalability,"A software term meaning esnek ölçeklenebilirlik, used in site, drawing, installation or coordination contexts.",cloud computing
load balancer,"A software term meaning yük dengeleyici, used in site, drawing, installation or coordination contexts.",cloud computing
auto-scaling,"A software term meaning otomatik ölçeklendirme, used in site, drawing, installation or coordination contexts.",cloud computing
cloud storage bucket,"A software term meaning bulut depolama kovası (bucket), used in site, drawing, installation or coordination contexts.",cloud computing
public cloud,"A software term meaning genel bulut, used in site, drawing, installation or coordination contexts.",cloud computing
private cloud,"A software term meaning özel bulut, used in site, drawing, installation or coordination contexts.",cloud computing
serverless computing,"A software term meaning sunucusuz bilişim, used in site, drawing, installation or coordination contexts.",cloud computing
multi-cloud strategy,"A software term meaning çoklu bulut stratejisi, used in site, drawing, installation or coordination contexts.",cloud computing
hybrid cloud,"A software term meaning hibrit bulut, used in site, drawing, installation or coordination contexts.",cloud computing
cloud migration,"A software term meaning buluta geçiş, used in site, drawing, installation or coordination contexts.",cloud computing
virtual private cloud,"A software term meaning sanal özel bulut, used in site, drawing, installation or coordination contexts.",cloud computing
content delivery network,"A software term meaning içerik dağıtım ağı (CDN), used in site, drawing, installation or coordination contexts.",cloud computing
cloud cost optimization,"A software term meaning bulut maliyet optimizasyonu, used in site, drawing, installation or coordination contexts.",cloud computing
edge computing,"A software term meaning uç bilişim (edge computing), used in site, drawing, installation or coordination contexts.",cloud computing
cloud-native application,"A software term meaning buluta özgü uygulama, used in site, drawing, installation or coordination contexts.",cloud computing
elastic compute resource,"A software term meaning esnek hesaplama kaynağı, used in site, drawing, installation or coordination contexts.",cloud computing
multi-region deployment,"A software term meaning çok bölgeli dağıtım, used in site, drawing, installation or coordination contexts.",cloud computing
high availability architecture,"A software term meaning yüksek erişilebilirlik mimarisi, used in site, drawing, installation or coordination contexts.",cloud computing
upload,"A software term meaning yükleme (upload), used in site, drawing, installation or coordination contexts.",cloud computing
download,"A software term meaning indirme (download), used in site, drawing, installation or coordination contexts.",cloud computing
cloud backup,"A software term meaning bulut yedekleme, used in site, drawing, installation or coordination contexts.",cloud computing
cloud identity management,"A software term meaning bulut kimlik yönetimi, used in site, drawing, installation or coordination contexts.",cloud computing
compute instance,"A software term meaning hesaplama örneği (instance), used in site, drawing, installation or coordination contexts.",cloud computing
object storage,"A software term meaning nesne depolama, used in site, drawing, installation or coordination contexts.",cloud computing
cloud native networking,"A software term meaning buluta özgü ağ altyapısı, used in site, drawing, installation or coordination contexts.",cloud computing
cloud dashboard,"A software term meaning bulut kontrol paneli, used in site, drawing, installation or coordination contexts.",cloud computing
container,"A software term meaning konteyner, used in site, drawing, installation or coordination contexts.",containers
Docker image,"A software term meaning Docker imajı, used in site, drawing, installation or coordination contexts.",containers
virtualization,"A software term meaning sanallaştırma, used in site, drawing, installation or coordination contexts.",containers
container registry,"A software term meaning konteyner kayıt defteri, used in site, drawing, installation or coordination contexts.",containers
Kubernetes cluster,"A software term meaning Kubernetes kümesi, used in site, drawing, installation or coordination contexts.",containers
container orchestration,"A software term meaning konteyner orkestrasyonu, used in site, drawing, installation or coordination contexts.",containers
pod,"A software term meaning pod (Kubernetes), used in site, drawing, installation or coordination contexts.",containers
microservice container,"A software term meaning mikroservis konteyneri, used in site, drawing, installation or coordination contexts.",containers
Dockerfile,"A software term meaning Dockerfile, used in site, drawing, installation or coordination contexts.",containers
container networking,"A software term meaning konteyner ağı, used in site, drawing, installation or coordination contexts.",containers
horizontal pod autoscaler,"A software term meaning yatay pod otomatik ölçekleyici, used in site, drawing, installation or coordination contexts.",containers
container image layer,"A software term meaning konteyner imaj katmanı, used in site, drawing, installation or coordination contexts.",containers
service mesh,"A software term meaning servis ağı (service mesh), used in site, drawing, installation or coordination contexts.",containers
container runtime interface,"A software term meaning konteyner çalışma zamanı arayüzü, used in site, drawing, installation or coordination contexts.",containers
helm chart,"A software term meaning helm chart, used in site, drawing, installation or coordination contexts.",containers
sidecar pattern,"A software term meaning sidecar deseni, used in site, drawing, installation or coordination contexts.",containers
container security scanning,"A software term meaning konteyner güvenlik taraması, used in site, drawing, installation or coordination contexts.",containers
virtual environment,"A software term meaning sanal ortam, used in site, drawing, installation or coordination contexts.",containers
container orchestration platform,"A software term meaning konteyner orkestrasyon platformu, used in site, drawing, installation or coordination contexts.",containers
namespace isolation,"A software term meaning ad alanı izolasyonu, used in site, drawing, installation or coordination contexts.",containers
multi-stage docker build,"A software term meaning çok aşamalı docker derlemesi, used in site, drawing, installation or coordination contexts.",containers
image tag,"A software term meaning imaj etiketi, used in site, drawing, installation or coordination contexts.",containers
container resource limit,"A software term meaning konteyner kaynak sınırı, used in site, drawing, installation or coordination contexts.",containers
bind mount,"A software term meaning bağlama (mount), used in site, drawing, installation or coordination contexts.",containers
ingress controller,"A software term meaning giriş denetleyici (ingress), used in site, drawing, installation or coordination contexts.",containers
database engine,"A software term meaning veritabanı motoru, used in site, drawing, installation or coordination contexts.",databases sql
temporary table,"A software term meaning geçici tablo, used in site, drawing, installation or coordination contexts.",databases sql
relational database,"A software term meaning ilişkisel veritabanı, used in site, drawing, installation or coordination contexts.",databases sql
primary key,"A software term meaning birincil anahtar, used in site, drawing, installation or coordination contexts.",databases sql
foreign key,"A software term meaning yabancı anahtar, used in site, drawing, installation or coordination contexts.",databases sql
query,"A software term meaning sorgu, used in site, drawing, installation or coordination contexts.",databases sql
SQL query,"A software term meaning SQL sorgusu, used in site, drawing, installation or coordination contexts.",databases sql
index (database),"A software term meaning indeks (veritabanı), used in site, drawing, installation or coordination contexts.",databases sql
join operation,"A software term meaning birleştirme işlemi (join), used in site, drawing, installation or coordination contexts.",databases sql
orphan record,"A software term meaning sahipsiz kayıt, used in site, drawing, installation or coordination contexts.",databases sql
schema,"A software term meaning şema (veritabanı), used in site, drawing, installation or coordination contexts.",databases sql
computed column,"A software term meaning hesaplanan sütun, used in site, drawing, installation or coordination contexts.",databases sql
row-level security,"A software term meaning satır düzeyinde güvenlik, used in site, drawing, installation or coordination contexts.",databases sql
database transaction,"A software term meaning veritabanı işlemi (transaction), used in site, drawing, installation or coordination contexts.",databases sql
normalization,"A software term meaning normalizasyon (veritabanı), used in site, drawing, installation or coordination contexts.",databases sql
denormalization,"A software term meaning denormalizasyon, used in site, drawing, installation or coordination contexts.",databases sql
stored procedure,"A software term meaning saklı yordam, used in site, drawing, installation or coordination contexts.",databases sql
database view,"A software term meaning veritabanı görünümü (view), used in site, drawing, installation or coordination contexts.",databases sql
ACID properties,"A software term meaning ACID özellikleri, used in site, drawing, installation or coordination contexts.",databases sql
query optimization,"A software term meaning sorgu optimizasyonu, used in site, drawing, installation or coordination contexts.",databases sql
database migration,"A software term meaning veritabanı geçişi (migration), used in site, drawing, installation or coordination contexts.",databases sql
connection pooling,"A software term meaning bağlantı havuzu, used in site, drawing, installation or coordination contexts.",databases sql
database indexing strategy,"A software term meaning veritabanı indeksleme stratejisi, used in site, drawing, installation or coordination contexts.",databases sql
subquery,"A software term meaning alt sorgu, used in site, drawing, installation or coordination contexts.",databases sql
aggregate function,"A software term meaning toplama fonksiyonu, used in site, drawing, installation or coordination contexts.",databases sql
data integrity constraint,"A software term meaning veri bütünlüğü kısıtı, used in site, drawing, installation or coordination contexts.",databases sql
query execution plan,"A software term meaning sorgu yürütme planı, used in site, drawing, installation or coordination contexts.",databases sql
database replication,"A software term meaning veritabanı replikasyonu, used in site, drawing, installation or coordination contexts.",databases sql
database sharding,"A software term meaning veritabanı parçalama (sharding), used in site, drawing, installation or coordination contexts.",databases sql
isolation level,"A software term meaning izolasyon seviyesi, used in site, drawing, installation or coordination contexts.",databases sql
database partitioning,"A software term meaning veritabanı bölümleme, used in site, drawing, installation or coordination contexts.",databases sql
save data,"A software term meaning veri kaydetme, used in site, drawing, installation or coordination contexts.",databases sql
database backup,"A software term meaning veritabanı yedeği, used in site, drawing, installation or coordination contexts.",databases sql
database trigger,"A software term meaning veritabanı tetikleyicisi (trigger), used in site, drawing, installation or coordination contexts.",databases sql
materialized view,"A software term meaning somutlaştırılmış görünüm, used in site, drawing, installation or coordination contexts.",databases sql
data model,"A software term meaning veri modeli, used in site, drawing, installation or coordination contexts.",databases sql
entity relationship diagram,"A software term meaning varlık ilişki diyagramı, used in site, drawing, installation or coordination contexts.",databases sql
NoSQL database,"A software term meaning NoSQL veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
document database,"A software term meaning doküman veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
key-value store,"A software term meaning anahtar-değer deposu, used in site, drawing, installation or coordination contexts.",databases nosql
collection (database),"A software term meaning koleksiyon (veritabanı), used in site, drawing, installation or coordination contexts.",databases nosql
column-family database,"A software term meaning sütun ailesi veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
graph database,"A software term meaning çizge (graph) veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
eventual consistency,"A software term meaning nihai tutarlılık, used in site, drawing, installation or coordination contexts.",databases nosql
CAP theorem,"A software term meaning CAP teoremi, used in site, drawing, installation or coordination contexts.",databases nosql
data replication strategy,"A software term meaning veri replikasyon stratejisi, used in site, drawing, installation or coordination contexts.",databases nosql
horizontal scaling,"A software term meaning yatay ölçeklendirme, used in site, drawing, installation or coordination contexts.",databases nosql
vertical scaling,"A software term meaning dikey ölçeklendirme, used in site, drawing, installation or coordination contexts.",databases nosql
consistent hashing,"A software term meaning tutarlı hashleme, used in site, drawing, installation or coordination contexts.",databases nosql
quorum-based consistency,"A software term meaning kotaya dayalı tutarlılık, used in site, drawing, installation or coordination contexts.",databases nosql
distributed database architecture,"A software term meaning dağıtık veritabanı mimarisi, used in site, drawing, installation or coordination contexts.",databases nosql
cache,"A software term meaning önbellek, used in site, drawing, installation or coordination contexts.",databases nosql
in-memory database,"A software term meaning bellek içi veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
time-series database,"A software term meaning zaman serisi veritabanı, used in site, drawing, installation or coordination contexts.",databases nosql
write-ahead log,"A software term meaning yazma öncesi günlük (WAL), used in site, drawing, installation or coordination contexts.",databases nosql
data lake,"A software term meaning veri gölü, used in site, drawing, installation or coordination contexts.",databases nosql
data warehouse,"A software term meaning veri ambarı, used in site, drawing, installation or coordination contexts.",databases nosql
polyglot persistence,"A software term meaning çoklu kalıcılık (polyglot persistence), used in site, drawing, installation or coordination contexts.",databases nosql
cache eviction policy,"A software term meaning önbellek tahliye politikası, used in site, drawing, installation or coordination contexts.",databases nosql
website,"A software term meaning web sitesi, used in site, drawing, installation or coordination contexts.",frontend dev
browser tab,"A software term meaning tarayıcı sekmesi, used in site, drawing, installation or coordination contexts.",frontend dev
web page,"A software term meaning web sayfası, used in site, drawing, installation or coordination contexts.",frontend dev
submit button,"A software term meaning gönder butonu, used in site, drawing, installation or coordination contexts.",frontend dev
dynamic form,"A software term meaning dinamik form, used in site, drawing, installation or coordination contexts.",frontend dev
menu,"A software term meaning menü, used in site, drawing, installation or coordination contexts.",frontend dev
grid layout,"A software term meaning grid yerleşimi, used in site, drawing, installation or coordination contexts.",frontend dev
responsive design,"A software term meaning duyarlı tasarım, used in site, drawing, installation or coordination contexts.",frontend dev
HTML element,"A software term meaning HTML öğesi, used in site, drawing, installation or coordination contexts.",frontend dev
CSS style,"A software term meaning CSS stili, used in site, drawing, installation or coordination contexts.",frontend dev
DOM,"A software term meaning belge nesne modeli (DOM), used in site, drawing, installation or coordination contexts.",frontend dev
event listener,"A software term meaning olay dinleyici, used in site, drawing, installation or coordination contexts.",frontend dev
form validation,"A software term meaning form doğrulama, used in site, drawing, installation or coordination contexts.",frontend dev
single-page application,"A software term meaning tek sayfa uygulaması (SPA), used in site, drawing, installation or coordination contexts.",frontend dev
component (frontend),"A software term meaning bileşen (frontend), used in site, drawing, installation or coordination contexts.",frontend dev
stylesheet,"A software term meaning stil sayfası, used in site, drawing, installation or coordination contexts.",frontend dev
web accessibility,"A software term meaning web erişilebilirliği, used in site, drawing, installation or coordination contexts.",frontend dev
frontend framework,"A software term meaning frontend çerçevesi, used in site, drawing, installation or coordination contexts.",frontend dev
state management,"A software term meaning durum yönetimi, used in site, drawing, installation or coordination contexts.",frontend dev
virtual DOM,"A software term meaning sanal DOM, used in site, drawing, installation or coordination contexts.",frontend dev
client-side rendering,"A software term meaning istemci taraflı işleme (rendering), used in site, drawing, installation or coordination contexts.",frontend dev
server-side rendering,"A software term meaning sunucu taraflı işleme, used in site, drawing, installation or coordination contexts.",frontend dev
React component,"A software term meaning React bileşeni, used in site, drawing, installation or coordination contexts.",frontend dev
routing (frontend),"A software term meaning yönlendirme (frontend), used in site, drawing, installation or coordination contexts.",frontend dev
CSS preprocessor,"A software term meaning CSS ön işlemcisi, used in site, drawing, installation or coordination contexts.",frontend dev
cross-browser compatibility,"A software term meaning tarayıcılar arası uyumluluk, used in site, drawing, installation or coordination contexts.",frontend dev
progressive web app,"A software term meaning aşamalı web uygulaması (PWA), used in site, drawing, installation or coordination contexts.",frontend dev
component lifecycle,"A software term meaning bileşen yaşam döngüsü, used in site, drawing, installation or coordination contexts.",frontend dev
static site generation,"A software term meaning statik site oluşturma, used in site, drawing, installation or coordination contexts.",frontend dev
hydration (web),"A software term meaning hidrasyon (web), used in site, drawing, installation or coordination contexts.",frontend dev
code splitting,"A software term meaning kod bölme, used in site, drawing, installation or coordination contexts.",frontend dev
lazy loading,"A software term meaning tembel yükleme, used in site, drawing, installation or coordination contexts.",frontend dev
web performance optimization,"A software term meaning web performans optimizasyonu, used in site, drawing, installation or coordination contexts.",frontend dev
accessibility standard compliance,"A software term meaning erişilebilirlik standardı uyumu, used in site, drawing, installation or coordination contexts.",frontend dev
micro frontend architecture,"A software term meaning mikro frontend mimarisi, used in site, drawing, installation or coordination contexts.",frontend dev
click,"A software term meaning tıklama, used in site, drawing, installation or coordination contexts.",frontend dev
scroll,"A software term meaning kaydırma, used in site, drawing, installation or coordination contexts.",frontend dev
web browser compatibility,"A software term meaning web tarayıcı uyumluluğu, used in site, drawing, installation or coordination contexts.",frontend dev
bundler tool,"A software term meaning paketleyici araç (bundler), used in site, drawing, installation or coordination contexts.",frontend dev
tree shaking,"A software term meaning gereksiz kod ayıklama (tree shaking), used in site, drawing, installation or coordination contexts.",frontend dev
template engine,"A software term meaning şablon motoru, used in site, drawing, installation or coordination contexts.",frontend dev
state hydration,"A software term meaning durum aktarımı (hydration), used in site, drawing, installation or coordination contexts.",frontend dev
server-side code,"A software term meaning sunucu tarafı kod, used in site, drawing, installation or coordination contexts.",backend dev
backend development,"A software term meaning backend geliştirme, used in site, drawing, installation or coordination contexts.",backend dev
web server,"A software term meaning web sunucusu, used in site, drawing, installation or coordination contexts.",backend dev
HTTP request,"A software term meaning HTTP isteği, used in site, drawing, installation or coordination contexts.",backend dev
HTTP response,"A software term meaning HTTP yanıtı, used in site, drawing, installation or coordination contexts.",backend dev
routing (backend),"A software term meaning yönlendirme (backend), used in site, drawing, installation or coordination contexts.",backend dev
middleware,"A software term meaning ara yazılım (middleware), used in site, drawing, installation or coordination contexts.",backend dev
session management,"A software term meaning oturum yönetimi, used in site, drawing, installation or coordination contexts.",backend dev
authentication,"A software term meaning kimlik doğrulama, used in site, drawing, installation or coordination contexts.",backend dev
authorization policy,"A software term meaning yetkilendirme politikası, used in site, drawing, installation or coordination contexts.",backend dev
cookie,"A software term meaning çerez (cookie), used in site, drawing, installation or coordination contexts.",backend dev
RESTful service,"A software term meaning RESTful servis, used in site, drawing, installation or coordination contexts.",backend dev
controller (backend),"A software term meaning denetleyici (backend), used in site, drawing, installation or coordination contexts.",backend dev
request handler,"A software term meaning istek işleyici, used in site, drawing, installation or coordination contexts.",backend dev
rate limiting,"A software term meaning hız sınırlama, used in site, drawing, installation or coordination contexts.",backend dev
server-side validation,"A software term meaning sunucu taraflı doğrulama, used in site, drawing, installation or coordination contexts.",backend dev
token-based authentication,"A software term meaning token tabanlı kimlik doğrulama, used in site, drawing, installation or coordination contexts.",backend dev
caching layer,"A software term meaning önbellekleme katmanı, used in site, drawing, installation or coordination contexts.",backend dev
background job,"A software term meaning arka plan işi, used in site, drawing, installation or coordination contexts.",backend dev
queue worker,"A software term meaning kuyruk işçisi (worker), used in site, drawing, installation or coordination contexts.",backend dev
connection timeout,"A software term meaning bağlantı zaman aşımı, used in site, drawing, installation or coordination contexts.",backend dev
horizontal request scaling,"A software term meaning yatay istek ölçeklendirme, used in site, drawing, installation or coordination contexts.",backend dev
idempotent operation,"A software term meaning idempotent (etkisi tekrarlanmayan) işlem, used in site, drawing, installation or coordination contexts.",backend dev
stateless service design,"A software term meaning durumsuz servis tasarımı, used in site, drawing, installation or coordination contexts.",backend dev
graceful shutdown,"A software term meaning kademeli kapatma, used in site, drawing, installation or coordination contexts.",backend dev
login,"A software term meaning giriş yapma, used in site, drawing, installation or coordination contexts.",backend dev
logout,"A software term meaning çıkış yapma, used in site, drawing, installation or coordination contexts.",backend dev
password hashing,"A software term meaning parola hashleme, used in site, drawing, installation or coordination contexts.",backend dev
JSON web token,"A software term meaning JSON web belirteci (JWT), used in site, drawing, installation or coordination contexts.",backend dev
OAuth flow,"A software term meaning OAuth akışı, used in site, drawing, installation or coordination contexts.",backend dev
server configuration,"A software term meaning sunucu yapılandırması, used in site, drawing, installation or coordination contexts.",backend dev
API rate limit,"A software term meaning API hız sınırı, used in site, drawing, installation or coordination contexts.",backend dev
distributed session store,"A software term meaning dağıtık oturum deposu, used in site, drawing, installation or coordination contexts.",backend dev
API,"A software term meaning API (uygulama programlama arayüzü), used in site, drawing, installation or coordination contexts.",apis
REST API,"A software term meaning REST API, used in site, drawing, installation or coordination contexts.",apis
endpoint,"A software term meaning uç nokta (endpoint), used in site, drawing, installation or coordination contexts.",apis
API request,"A software term meaning API isteği, used in site, drawing, installation or coordination contexts.",apis
API response,"A software term meaning API yanıtı, used in site, drawing, installation or coordination contexts.",apis
JSON format,"A software term meaning JSON biçimi, used in site, drawing, installation or coordination contexts.",apis
XML format,"A software term meaning XML biçimi, used in site, drawing, installation or coordination contexts.",apis
HTTP method,"A software term meaning HTTP yöntemi, used in site, drawing, installation or coordination contexts.",apis
GET request,"A software term meaning GET isteği, used in site, drawing, installation or coordination contexts.",apis
POST request,"A software term meaning POST isteği, used in site, drawing, installation or coordination contexts.",apis
API documentation,"A software term meaning API dokümantasyonu, used in site, drawing, installation or coordination contexts.",apis
API key,"A software term meaning API anahtarı, used in site, drawing, installation or coordination contexts.",apis
GraphQL API,"A software term meaning GraphQL API, used in site, drawing, installation or coordination contexts.",apis
API versioning,"A software term meaning API sürümlemesi, used in site, drawing, installation or coordination contexts.",apis
webhook,"A software term meaning webhook (web kancası), used in site, drawing, installation or coordination contexts.",apis
API gateway,"A software term meaning API ağ geçidi, used in site, drawing, installation or coordination contexts.",apis
payload (API),"A software term meaning yük (payload) (API), used in site, drawing, installation or coordination contexts.",apis
status code,"A software term meaning durum kodu, used in site, drawing, installation or coordination contexts.",apis
API rate throttling,"A software term meaning API hız kısıtlaması, used in site, drawing, installation or coordination contexts.",apis
SOAP protocol,"A software term meaning SOAP protokolü, used in site, drawing, installation or coordination contexts.",apis
API integration,"A software term meaning API entegrasyonu, used in site, drawing, installation or coordination contexts.",apis
OpenAPI specification,"A software term meaning OpenAPI spesifikasyonu, used in site, drawing, installation or coordination contexts.",apis
API contract testing,"A software term meaning API sözleşme testi, used in site, drawing, installation or coordination contexts.",apis
API governance framework,"A software term meaning API yönetişim çerçevesi, used in site, drawing, installation or coordination contexts.",apis
batch request,"A software term meaning toplu istek, used in site, drawing, installation or coordination contexts.",apis
PUT request,"A software term meaning PUT isteği, used in site, drawing, installation or coordination contexts.",apis
DELETE request,"A software term meaning DELETE isteği, used in site, drawing, installation or coordination contexts.",apis
API mocking,"A software term meaning API taklit etme (mocking), used in site, drawing, installation or coordination contexts.",apis
API deprecation policy,"A software term meaning API kullanımdan kaldırma politikası, used in site, drawing, installation or coordination contexts.",apis
client library,"A software term meaning istemci kütüphanesi, used in site, drawing, installation or coordination contexts.",apis
third-party API integration,"A software term meaning üçüncü taraf API entegrasyonu, used in site, drawing, installation or coordination contexts.",apis
mobile app,"A software term meaning mobil uygulama, used in site, drawing, installation or coordination contexts.",mobile dev
app store,"A software term meaning uygulama mağazası, used in site, drawing, installation or coordination contexts.",mobile dev
native app development,"A software term meaning yerel uygulama geliştirme, used in site, drawing, installation or coordination contexts.",mobile dev
cross-platform app,"A software term meaning platformlar arası uygulama, used in site, drawing, installation or coordination contexts.",mobile dev
Android development,"A software term meaning Android geliştirme, used in site, drawing, installation or coordination contexts.",mobile dev
iOS development,"A software term meaning iOS geliştirme, used in site, drawing, installation or coordination contexts.",mobile dev
mobile UI design,"A software term meaning mobil arayüz tasarımı, used in site, drawing, installation or coordination contexts.",mobile dev
app permission,"A software term meaning uygulama izni, used in site, drawing, installation or coordination contexts.",mobile dev
push notification,"A software term meaning anlık bildirim (push notification), used in site, drawing, installation or coordination contexts.",mobile dev
app lifecycle,"A software term meaning uygulama yaşam döngüsü, used in site, drawing, installation or coordination contexts.",mobile dev
hybrid app development,"A software term meaning hibrit uygulama geliştirme, used in site, drawing, installation or coordination contexts.",mobile dev
mobile responsive layout,"A software term meaning mobil duyarlı yerleşim, used in site, drawing, installation or coordination contexts.",mobile dev
app performance optimization,"A software term meaning uygulama performans optimizasyonu, used in site, drawing, installation or coordination contexts.",mobile dev
offline-first design,"A software term meaning çevrimdışı öncelikli tasarım, used in site, drawing, installation or coordination contexts.",mobile dev
mobile app testing,"A software term meaning mobil uygulama testi, used in site, drawing, installation or coordination contexts.",mobile dev
in-app purchase,"A software term meaning uygulama içi satın alma, used in site, drawing, installation or coordination contexts.",mobile dev
app store deployment,"A software term meaning uygulama mağazası dağıtımı, used in site, drawing, installation or coordination contexts.",mobile dev
battery consumption optimization,"A software term meaning pil tüketimi optimizasyonu, used in site, drawing, installation or coordination contexts.",mobile dev
mobile continuous delivery,"A software term meaning mobil sürekli teslimat, used in site, drawing, installation or coordination contexts.",mobile dev
install app,"A software term meaning uygulama yükleme, used in site, drawing, installation or coordination contexts.",mobile dev
mobile SDK,"A software term meaning mobil SDK (yazılım geliştirme kiti), used in site, drawing, installation or coordination contexts.",mobile dev
device fragmentation,"A software term meaning cihaz parçalanması, used in site, drawing, installation or coordination contexts.",mobile dev
app update,"A software term meaning uygulama güncellemesi, used in site, drawing, installation or coordination contexts.",mobile dev
internet connectivity,"A software term meaning internet bağlantısı, used in site, drawing, installation or coordination contexts.",networking dev
Wi-Fi signal strength,"A software term meaning Wi-Fi sinyal gücü, used in site, drawing, installation or coordination contexts.",networking dev
IP address,"A software term meaning IP adresi, used in site, drawing, installation or coordination contexts.",networking dev
domain name,"A software term meaning alan adı (domain), used in site, drawing, installation or coordination contexts.",networking dev
URL,"A software term meaning URL (web adresi), used in site, drawing, installation or coordination contexts.",networking dev
port number,"A software term meaning port numarası, used in site, drawing, installation or coordination contexts.",networking dev
firewall,"A software term meaning güvenlik duvarı, used in site, drawing, installation or coordination contexts.",networking dev
DNS,"A software term meaning alan adı sistemi (DNS), used in site, drawing, installation or coordination contexts.",networking dev
TCP/IP,"A software term meaning TCP/IP, used in site, drawing, installation or coordination contexts.",networking dev
HTTPS protocol,"A software term meaning HTTPS protokolü, used in site, drawing, installation or coordination contexts.",networking dev
