term,turkishMeaning,definition,exampleSentence,turkishExample,domain
tap off box,tap-off kutusu,"A general expression meaning “tap-off kutusu”, used in realistic EngineerOS work-life contexts.",Please write the word tap off box clearly in your notes.,Lütfen notlarına tap-off kutusu kelimesini açıkça yaz.,general-english
technical submittal,teknik onay dokümanı,"A general expression meaning “teknik onay dokümanı”, used in realistic EngineerOS work-life contexts.",She used the word technical submittal in a clear sentence.,Bu kelimeyi açık bir cümlede teknik onay dokümanı anlamında kullandı.,general-english
temperature transmitter,sıcaklık transmitteri,"A general expression meaning “sıcaklık transmitteri”, used in realistic EngineerOS work-life contexts.",The meaning of temperature transmitter was clear from the context.,Sıcaklık transmitteri anlamı bağlamdan açıkça anlaşılıyordu.,general-english
toolbox talk,işbaşı güvenlik konuşması,"A general expression meaning “işbaşı güvenlik konuşması”, used in realistic EngineerOS work-life contexts.",The toolbox talk came up during a normal conversation.,Işbaşı güvenlik konuşması konusu günlük bir konuşmada geçti.,general-english
total demand,total talep / yük talebi,"A general expression meaning “total talep / yük talebi”, used in realistic EngineerOS work-life contexts.",He mentioned the total demand while explaining the problem.,Problemi açıklarken total talep konusundan bahsetti.,general-english
traffic analysis calculation,trafik analiz hesabı,"A general expression meaning “trafik analiz hesabı”, used in realistic EngineerOS work-life contexts.",The traffic analysis calculation was important in the short discussion.,Kısa görüşmede trafik analiz hesabı önemliydi.,general-english
transfer circuit,aktarma / transfer devre,"A finance/admin term meaning aktarma / transfer devre, used for payments, salary, banking, tax, visa or document communication.",Please confirm the transfer circuit before I make the payment.,Ödeme yapmadan önce lütfen aktarma / transfer devre konusunu teyit edin.,EngGen
unauthorized access,yetkisiz geçiş,"A general expression meaning “yetkisiz geçiş”, used in realistic EngineerOS work-life contexts.",She used the word unauthorized access in a clear sentence.,Bu kelimeyi açık bir cümlede yetkisiz geçiş anlamında kullandı.,general-english
usd,USD / Amerikan doları,"A practical English term meaning USD / Amerikan doları, used in daily work-life communication.",The meaning of usd was clear from the context.,USD anlamı bağlamdan açıkça anlaşılıyordu.,general-english
utility energy meter,şebeke hizmeti / altyapı kuruluşu enerji sayaç / metre,"A general expression meaning “şebeke hizmeti / altyapı kuruluşu enerji sayaç / metre”, used in realistic EngineerOS work-life contexts.",The utility energy meter came up during a normal conversation.,Şebeke hizmeti konusu günlük bir konuşmada geçti.,general-english
vaccination,aşı,"A practical English term meaning aşı, used in daily work-life communication.",He mentioned the vaccination while explaining the problem.,Problemi açıklarken aşı konusundan bahsetti.,general-english
vertical distribution,dikey dağıtım,"A general expression meaning “dikey dağıtım”, used in realistic EngineerOS work-life contexts.",The vertical distribution was important in the short discussion.,Kısa görüşmede dikey dağıtım önemliydi.,general-english
visual monitoring,görsel izleme,"A general expression meaning “görsel izleme”, used in realistic EngineerOS work-life contexts.",Please write the word visual monitoring clearly in your notes.,Lütfen notlarına görsel izleme kelimesini açıkça yaz.,general-english
ward,servis,"A practical English term meaning servis, used in daily work-life communication.",She used the word ward in a clear sentence.,Bu kelimeyi açık bir cümlede servis anlamında kullandı.,general-english
water pipes,su pipes,"A general expression meaning “su pipes”, used in realistic EngineerOS work-life contexts.",The meaning of water pipes was clear from the context.,Su pipes anlamı bağlamdan açıkça anlaşılıyordu.,general-english
white space,data center IT alanı,"A general expression meaning “data center IT alanı”, used in realistic EngineerOS work-life contexts.",The white space came up during a normal conversation.,Data center IT alanı konusu günlük bir konuşmada geçti.,general-english
Wi-Fi access,wi-fi geçiş,"A general expression meaning “wi-fi geçiş”, used in realistic EngineerOS work-life contexts.",He mentioned the Wi-Fi access while explaining the problem.,Problemi açıklarken wi-fi geçiş konusundan bahsetti.,general-english
wiring diagram,kablolama şeması,"A general expression meaning “kablolama şeması”, used in realistic EngineerOS work-life contexts.",The wiring diagram was important in the short discussion.,Kısa görüşmede kablolama şeması önemliydi.,general-english
zone selector,bölge / zon selector,"A general expression meaning “bölge / zon selector”, used in realistic EngineerOS work-life contexts.",Please write the word zone selector clearly in your notes.,Lütfen notlarına bölge kelimesini açıkça yaz.,general-english
act,hareket etmek / yasa,"A practical English term meaning hareket etmek / yasa, used in daily work-life communication.",She used the word act in a clear sentence.,Bu kelimeyi açık bir cümlede hareket etmek anlamında kullandı.,general-english
armoured,zırhlı,"A practical English term meaning zırhlı, used in daily work-life communication.",The armoured item must be reviewed before the report is closed.,Zırhlı kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
artificial,yapay,"An adjective meaning “yapay”, used to describe a condition, issue, status or requirement.",This is a artificial point in the current discussion.,"Bu, mevcut görüşmede yapay bir noktadır.",general-english
built,yapılmış / as-built bağlamında,"A practical English term meaning yapılmış / as-built bağlamında, used in daily work-life communication.",He mentioned the built while explaining the problem.,Problemi açıklarken yapılmış konusundan bahsetti.,general-english
cabin,kabin,"A practical English term meaning kabin, used in daily work-life communication.",The cabin was important in the short discussion.,Kısa görüşmede kabin önemliydi.,general-english
chemical,kimyasal,"An adjective meaning “kimyasal”, used to describe a condition, issue, status or requirement.",This is a chemical point in the current discussion.,"Bu, mevcut görüşmede kimyasal bir noktadır.",general-english
clad,kaplı,"A practical English term meaning kaplı, used in daily work-life communication.",She used the word clad in a clear sentence.,Bu kelimeyi açık bir cümlede kaplı anlamında kullandı.,general-english
command,komut / kumanda,"A practical English term meaning komut / kumanda, used in daily work-life communication.",The meaning of command was clear from the context.,Komut anlamı bağlamdan açıkça anlaşılıyordu.,general-english
coverage,kapsama,"A practical English term meaning kapsama, used in daily work-life communication.",The coverage came up during a normal conversation.,Kapsama konusu günlük bir konuşmada geçti.,general-english
department,departman / bölüm,"An adjective meaning “departman / bölüm”, used to describe a condition, issue, status or requirement.",He mentioned the department while explaining the problem.,Problemi açıklarken departman konusundan bahsetti.,general-english
dim,karartmak / dim etmek,"A practical English term meaning karartmak / dim etmek, used in daily work-life communication.",The dim was important in the short discussion.,Kısa görüşmede karartmak önemliydi.,general-english
dimmable,dim edilebilir,"An adjective meaning “dim edilebilir”, used to describe a condition, issue, status or requirement.",This is a dimmable point in the current discussion.,"Bu, mevcut görüşmede dim edilebilir bir noktadır.",general-english
dual,çift / ikili,"An adjective meaning “çift / ikili”, used to describe a condition, issue, status or requirement.",This is a dual point in the current discussion.,"Bu, mevcut görüşmede çift bir noktadır.",general-english
electronic,elektronik,"An adjective meaning “elektronik”, used to describe a condition, issue, status or requirement.",This is a electronic point in the current discussion.,"Bu, mevcut görüşmede elektronik bir noktadır.",general-english
elevation,görünüş / kot,"A practical English term meaning görünüş / kot, used in daily work-life communication.",The elevation came up during a normal conversation.,Görünüş konusu günlük bir konuşmada geçti.,general-english
enhance,geliştirmek / artırmak,"A practical English term meaning geliştirmek / artırmak, used in daily work-life communication.",He mentioned the enhance while explaining the problem.,Problemi açıklarken geliştirmek konusundan bahsetti.,general-english
extensive,kapsamlı,"An adjective meaning “kapsamlı”, used to describe a condition, issue, status or requirement.",This is a extensive point in the current discussion.,"Bu, mevcut görüşmede kapsamlı bir noktadır.",general-english
functional,fonksiyonel,"An adjective meaning “fonksiyonel”, used to describe a condition, issue, status or requirement.",This is a functional point in the current discussion.,"Bu, mevcut görüşmede fonksiyonel bir noktadır.",general-english
handed,teslim edilmiş,"A practical English term meaning teslim edilmiş, used in daily work-life communication.",The handed item must be reviewed before the report is closed.,Teslim edilmiş kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
healthcare,sağlık hizmetleri / hastane bağlamı,"A practical English term meaning sağlık hizmetleri / hastane bağlamı, used in daily work-life communication.",The meaning of healthcare was clear from the context.,Sağlık hizmetleri anlamı bağlamdan açıkça anlaşılıyordu.,general-english
imbalance,dengesizlik,"A practical English term meaning dengesizlik, used in daily work-life communication.",The imbalance came up during a normal conversation.,Dengesizlik konusu günlük bir konuşmada geçti.,general-english
indicate,göstermek / belirtmek,"A practical English term meaning göstermek / belirtmek, used in daily work-life communication.",He mentioned the indicate while explaining the problem.,Problemi açıklarken göstermek konusundan bahsetti.,general-english
instruction,talimat,"A practical English term meaning talimat, used in daily work-life communication.",The instruction was important in the short discussion.,Kısa görüşmede talimat önemliydi.,general-english
interior,iç mekân,"A practical English term meaning iç mekân, used in daily work-life communication.",Please write the word interior clearly in your notes.,Lütfen notlarına iç mekân kelimesini açıkça yaz.,general-english
joint,ek / bağlantı noktası,"A practical English term meaning ek / bağlantı noktası, used in daily work-life communication.",She used the word joint in a clear sentence.,Bu kelimeyi açık bir cümlede ek anlamında kullandı.,general-english
landscaping,peyzaj,"A practical English term meaning peyzaj, used in daily work-life communication.",Landscaping the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda peyzaj saha yoğunluğunu önler.,general-english
loading,yükleme / yüklenme,"A practical English term meaning yükleme / yüklenme, used in daily work-life communication.",Loading the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda yükleme saha yoğunluğunu önler.,general-english
malfunction,arıza,"A practical English term meaning arıza, used in daily work-life communication.",He mentioned the malfunction while explaining the problem.,Problemi açıklarken arıza konusundan bahsetti.,general-english
mechanism,mekanizma,"A practical English term meaning mekanizma, used in daily work-life communication.",The mechanism was important in the short discussion.,Kısa görüşmede mekanizma önemliydi.,general-english
mini,mini / küçük,"A practical English term meaning mini / küçük, used in daily work-life communication.",Please write the word mini clearly in your notes.,Lütfen notlarına mini kelimesini açıkça yaz.,general-english
newborn,yenidoğan,"A practical English term meaning yenidoğan, used in daily work-life communication.",She used the word newborn in a clear sentence.,Bu kelimeyi açık bir cümlede yenidoğan anlamında kullandı.,general-english
optic,optik,"An adjective meaning “optik”, used to describe a condition, issue, status or requirement.",This is a optic point in the current discussion.,"Bu, mevcut görüşmede optik bir noktadır.",general-english
page,sayfa,"A practical English term meaning sayfa, used in daily work-life communication.",The page came up during a normal conversation.,Sayfa konusu günlük bir konuşmada geçti.,general-english
passive,pasif,"An adjective meaning “pasif”, used to describe a condition, issue, status or requirement.",This is a passive point in the current discussion.,"Bu, mevcut görüşmede pasif bir noktadır.",general-english
permanent,kalıcı,"An adjective meaning “kalıcı”, used to describe a condition, issue, status or requirement.",This is a permanent point in the current discussion.,"Bu, mevcut görüşmede kalıcı bir noktadır.",general-english
permitted,izin verilen,"A practical English term meaning izin verilen, used in daily work-life communication.",The permitted item must be reviewed before the report is closed.,Izin verilen kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
positioning,konumlandırma,"A practical English term meaning konumlandırma, used in daily work-life communication.",Positioning the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda konumlandırma saha yoğunluğunu önler.,general-english
profile,profil,"A practical English term meaning profil, used in daily work-life communication.",The meaning of profile was clear from the context.,Profil anlamı bağlamdan açıkça anlaşılıyordu.,general-english
programmable,programlanabilir,"An adjective meaning “programlanabilir”, used to describe a condition, issue, status or requirement.",This is a programmable point in the current discussion.,"Bu, mevcut görüşmede programlanabilir bir noktadır.",general-english
rail,ray,"A practical English term meaning ray, used in daily work-life communication.",He mentioned the rail while explaining the problem.,Problemi açıklarken ray konusundan bahsetti.,general-english
rate,oran / hız,"A finance/admin term meaning oran / hız, used for payments, salary, banking, tax, visa or document communication.",The accountant reviewed the rate before month-end closing.,Muhasebeci ay kapanışından önce oran gözden geçirdi.,EngGen
recorder,kayıt cihazı,"A practical English term meaning kayıt cihazı, used in daily work-life communication.",Please write the word recorder clearly in your notes.,Lütfen notlarına kayıt cihazı kelimesini açıkça yaz.,general-english
resistant,dayanıklı,"An adjective meaning “dayanıklı”, used to describe a condition, issue, status or requirement.",This is a resistant point in the current discussion.,"Bu, mevcut görüşmede dayanıklı bir noktadır.",general-english
reverse,ters,"A practical English term meaning ters, used in daily work-life communication.",The meaning of reverse was clear from the context.,Ters anlamı bağlamdan açıkça anlaşılıyordu.,general-english
rise,yükselme,"A practical English term meaning yükselme, used in daily work-life communication.",The rise came up during a normal conversation.,Yükselme konusu günlük bir konuşmada geçti.,general-english
riser,şaft / dikey hat,"A practical English term meaning şaft / dikey hat, used in daily work-life communication.",He mentioned the riser while explaining the problem.,Problemi açıklarken şaft konusundan bahsetti.,general-english
rolling,yuvarlanan / rolling sphere,"A practical English term meaning yuvarlanan / rolling sphere, used in daily work-life communication.",Rolling the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda yuvarlanan saha yoğunluğunu önler.,general-english
row,sıra,"A practical English term meaning sıra, used in daily work-life communication.",Please write the word row clearly in your notes.,Lütfen notlarına sıra kelimesini açıkça yaz.,general-english
self,kendi / self,"A practical English term meaning kendi / self, used in daily work-life communication.",She used the word self in a clear sentence.,Bu kelimeyi açık bir cümlede kendi anlamında kullandı.,general-english
sliding,kaymalı,"A practical English term meaning kaymalı, used in daily work-life communication.",Sliding the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda kaymalı saha yoğunluğunu önler.,general-english
specialized,özelleştirilmiş,"A practical English term meaning özelleştirilmiş, used in daily work-life communication.",The specialized item must be reviewed before the report is closed.,Özelleştirilmiş kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
sphere,küre,"A practical English term meaning küre, used in daily work-life communication.",He mentioned the sphere while explaining the problem.,Problemi açıklarken küre konusundan bahsetti.,general-english
star,yıldız,"A practical English term meaning yıldız, used in daily work-life communication.",The star was important in the short discussion.,Kısa görüşmede yıldız önemliydi.,general-english
stretcher,sedye,"A practical English term meaning sedye, used in daily work-life communication.",Please write the word stretcher clearly in your notes.,Lütfen notlarına sedye kelimesini açıkça yaz.,general-english
strip,çoklu priz / şerit,"A practical English term meaning çoklu priz / şerit, used in daily work-life communication.",She used the word strip in a clear sentence.,Bu kelimeyi açık bir cümlede çoklu priz anlamında kullandı.,general-english
structured,yapısal / yapılandırılmış,"A practical English term meaning yapısal / yapılandırılmış, used in daily work-life communication.",The structured item must be reviewed before the report is closed.,Yapısal kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
sub,alt / tali,"A practical English term meaning alt / tali, used in daily work-life communication.",The sub came up during a normal conversation.,Alt konusu günlük bir konuşmada geçti.,general-english
take,alma / çıkarım,"To take something in a work, site or daily communication context.",Please take the approved drawing to the site office.,Lütfen onaylı çizimi saha ofisine götürün.,general-english
talk,konuşma / toolbox talk,"A practical English term meaning konuşma / toolbox talk, used in daily work-life communication.",The talk was important in the short discussion.,Kısa görüşmede konuşma önemliydi.,general-english
term,terim / süre,"A practical English term meaning terim / süre, used in daily work-life communication.",Please write the word term clearly in your notes.,Lütfen notlarına terim kelimesini açıkça yaz.,general-english
thread,e-posta zinciri,"A practical English term meaning e-posta zinciri, used in daily work-life communication.",She used the word thread in a clear sentence.,Bu kelimeyi açık bir cümlede e-posta zinciri anlamında kullandı.,general-english
thumb,başparmak,"A practical English term meaning başparmak, used in daily work-life communication.",The meaning of thumb was clear from the context.,Başparmak anlamı bağlamdan açıkça anlaşılıyordu.,general-english
tie,bağ / kablo bağı,"A practical English term meaning bağ / kablo bağı, used in daily work-life communication.",The tie came up during a normal conversation.,Bağ konusu günlük bir konuşmada geçti.,general-english
turn,çevirmek / kapatmak,"A practical English term meaning çevirmek / kapatmak, used in daily work-life communication.",He mentioned the turn while explaining the problem.,Problemi açıklarken çevirmek konusundan bahsetti.,general-english
automatic fuel,otomatik yakıt,"A general expression meaning “otomatik yakıt”, used in realistic EngineerOS work-life contexts.",The automatic fuel was important in the short discussion.,Kısa görüşmede otomatik yakıt önemliydi.,general-english
day tank,gün tank,"A general expression meaning “gün tank”, used in realistic EngineerOS work-life contexts.",Please write the word day tank clearly in your notes.,Lütfen notlarına gün tank kelimesini açıkça yaz.,general-english
diesel engine,dizel engine,"A general expression meaning “dizel engine”, used in realistic EngineerOS work-life contexts.",She used the word diesel engine in a clear sentence.,Bu kelimeyi açık bir cümlede dizel engine anlamında kullandı.,general-english
fuel filling,yakıt doldurma,"A general expression meaning “yakıt doldurma”, used in realistic EngineerOS work-life contexts.",The meaning of fuel filling was clear from the context.,Yakıt doldurma anlamı bağlamdan açıkça anlaşılıyordu.,general-english
fuel level,yakıt seviye,"A general expression meaning “yakıt seviye”, used in realistic EngineerOS work-life contexts.",The fuel level came up during a normal conversation.,Yakıt seviye konusu günlük bir konuşmada geçti.,general-english
admission,kabul / giriş,"A practical English term meaning kabul / giriş, used in daily work-life communication.",He mentioned the admission while explaining the problem.,Problemi açıklarken kabul konusundan bahsetti.,general-english
clinical,klinik,"An adjective meaning “klinik”, used to describe a condition, issue, status or requirement.",This is a clinical point in the current discussion.,"Bu, mevcut görüşmede klinik bir noktadır.",general-english
disabled,engelli / devre dışı,"A practical English term meaning engelli / devre dışı, used in daily work-life communication.",The disabled item must be reviewed before the report is closed.,Engelli kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
elderly,yaşlı,"An adverb meaning “yaşlı”, used to describe how or when an action is done.",Please respond elderly if the consultant sends comments.,Danışman yorum gönderirse lütfen yaşlı yanıt verin.,general-english
medical gas,medikal gaz,"A daily-life expression meaning “medikal gaz”, used in realistic EngineerOS work-life contexts.",Please ask the clinic staff about the medical gas.,Lütfen klinik personeline medikal gaz hakkında sorun.,general-english
theatre,ameliyathane / tiyatro,"A practical English term meaning ameliyathane / tiyatro, used in daily work-life communication.",The theatre came up during a normal conversation.,Ameliyathane konusu günlük bir konuşmada geçti.,general-english
domestic,evsel / yerel,"An adjective meaning “evsel / yerel”, used to describe a condition, issue, status or requirement.",This is a domestic point in the current discussion.,"Bu, mevcut görüşmede evsel bir noktadır.",general-english
pattern,kalıp / örüntü,"A practical English term meaning kalıp / örüntü, used in daily work-life communication.",The pattern was important in the short discussion.,Kısa görüşmede kalıp önemliydi.,general-english
DALI driver,DALI / dijital aydınlatma kontrol arayüzü sürücü / driver,"A general expression meaning “DALI / dijital aydınlatma kontrol arayüzü sürücü / driver”, used in realistic EngineerOS work-life contexts.",The DALI driver is important for clear communication at work.,"DALI, iş yerinde net iletişim için önemlidir.",general-english
fixture quantities,armatür quantities,"A general expression meaning “armatür quantities”, used in realistic EngineerOS work-life contexts.",She used the word fixture quantities in a clear sentence.,Bu kelimeyi açık bir cümlede armatür quantities anlamında kullandı.,general-english
fixture types,armatür types,"A general expression meaning “armatür types”, used in realistic EngineerOS work-life contexts.",The meaning of fixture types was clear from the context.,Armatür types anlamı bağlamdan açıkça anlaşılıyordu.,general-english
high mast fixtures,yüksek mast fixtures,"A general expression meaning “yüksek mast fixtures”, used in realistic EngineerOS work-life contexts.",The high mast fixtures came up during a normal conversation.,Yüksek mast fixtures konusu günlük bir konuşmada geçti.,general-english
led fixtures,LED / ışık yayan diyot fixtures,"A general expression meaning “LED / ışık yayan diyot fixtures”, used in realistic EngineerOS work-life contexts.",The led fixtures is important for clear communication at work.,"LED, iş yerinde net iletişim için önemlidir.",general-english
led light fixtures,LED / ışık yayan diyot ışık / hafif fixtures,"A general expression meaning “LED / ışık yayan diyot ışık / hafif fixtures”, used in realistic EngineerOS work-life contexts.",The led light fixtures is important for clear communication at work.,"LED, iş yerinde net iletişim için önemlidir.",general-english
light fixtures,ışık / hafif fixtures,"A general expression meaning “ışık / hafif fixtures”, used in realistic EngineerOS work-life contexts.",Please write the word light fixtures clearly in your notes.,Lütfen notlarına ışık kelimesini açıkça yaz.,general-english
mast fixtures,direk tipi armatürler,"A general expression meaning “direk tipi armatürler”, used in realistic EngineerOS work-life contexts.",She used the word mast fixtures in a clear sentence.,Bu kelimeyi açık bir cümlede direk tipi armatürler anlamında kullandı.,general-english
supervise,denetlemek / gözetmek,"A practical English term meaning denetlemek / gözetmek, used in daily work-life communication.",The meaning of supervise was clear from the context.,Denetlemek anlamı bağlamdan açıkça anlaşılıyordu.,general-english
waterproof,su geçirmez,"A practical English term meaning su geçirmez, used in daily work-life communication.",The waterproof came up during a normal conversation.,Su geçirmez konusu günlük bir konuşmada geçti.,general-english
LV level,AG seviye,"A general expression meaning “AG seviye”, used in realistic EngineerOS work-life contexts.",The LV level is important for clear communication at work.,"AG seviye, iş yerinde net iletişim için önemlidir.",general-english
LV main,AG ana,"A general expression meaning “AG ana”, used in realistic EngineerOS work-life contexts.",The LV main is important for clear communication at work.,"AG ana, iş yerinde net iletişim için önemlidir.",general-english
main LV,ana AG,"A general expression meaning “ana AG”, used in realistic EngineerOS work-life contexts.",Please write the word main LV clearly in your notes.,Lütfen notlarına ana AG kelimesini açıkça yaz.,general-english
MV incoming,OG giriş,"A general expression meaning “OG giriş”, used in realistic EngineerOS work-life contexts.",The MV incoming is important for clear communication at work.,"OG giriş, iş yerinde net iletişim için önemlidir.",general-english
MV lines,OG lines,"A general expression meaning “OG lines”, used in realistic EngineerOS work-life contexts.",The MV lines is important for clear communication at work.,"OG lines, iş yerinde net iletişim için önemlidir.",general-english
MV side,OG side,"A general expression meaning “OG side”, used in realistic EngineerOS work-life contexts.",The MV side is important for clear communication at work.,"OG side, iş yerinde net iletişim için önemlidir.",general-english
mva,MVA / megavoltamper,"A practical English term meaning MVA / megavoltamper, used in daily work-life communication.",He mentioned the mva while explaining the problem.,Problemi açıklarken MVA konusundan bahsetti.,general-english
power factor,güç faktörü,"A general expression meaning “güç faktörü”, used in realistic EngineerOS work-life contexts.",The power factor was important in the short discussion.,Kısa görüşmede güç faktörü önemliydi.,general-english
power factor correction,güç faktör düzeltme,"A general expression meaning “güç faktör düzeltme”, used in realistic EngineerOS work-life contexts.",Please write the word power factor correction clearly in your notes.,Lütfen notlarına güç faktör düzeltme kelimesini açıkça yaz.,general-english
ongoing,devam eden,"A practical English term meaning devam eden, used in daily work-life communication.",Ongoing the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda devam eden saha yoğunluğunu önler.,general-english
postpone,ertelemek,"A practical English term meaning ertelemek, used in daily work-life communication.",The meaning of postpone was clear from the context.,Ertelemek anlamı bağlamdan açıkça anlaşılıyordu.,general-english
usable,kullanılabilir,"An adjective meaning “kullanılabilir”, used to describe a condition, issue, status or requirement.",The temporary access road is usable after the repair.,Geçici erişim yolu onarımdan sonra kullanılabilir durumdadır.,general-english
afterwards,sonrasında,"A practical English term meaning sonrasında, used in daily work-life communication.",He mentioned the afterwards while explaining the problem.,Problemi açıklarken sonrasında konusundan bahsetti.,general-english
backward,geriye doğru,"A practical English term meaning geriye doğru, used in daily work-life communication.",The backward was important in the short discussion.,Kısa görüşmede geriye doğru önemliydi.,general-english
commonly,yaygın olarak,"An adverb meaning “yaygın olarak”, used to describe how or when an action is done.",Please respond commonly if the consultant sends comments.,Danışman yorum gönderirse lütfen yaygın olarak yanıt verin.,general-english
constant,sabit,"An adjective meaning “sabit”, used to describe a condition, issue, status or requirement.",This is a constant point in the current discussion.,"Bu, mevcut görüşmede sabit bir noktadır.",general-english
entire,tüm / bütün,"A practical English term meaning tüm / bütün, used in daily work-life communication.",The meaning of entire was clear from the context.,Tüm anlamı bağlamdan açıkça anlaşılıyordu.,general-english
equally,eşit şekilde,"An adverb meaning “eşit şekilde”, used to describe how or when an action is done.",Please respond equally if the consultant sends comments.,Danışman yorum gönderirse lütfen eşit şekilde yanıt verin.,general-english
fairly,oldukça / adil şekilde,"An adverb meaning “oldukça / adil şekilde”, used to describe how or when an action is done.",Please respond fairly if the consultant sends comments.,Danışman yorum gönderirse lütfen oldukça yanıt verin.,general-english
mainly,çoğunlukla,"An adverb meaning “çoğunlukla”, used to describe how or when an action is done.",Please respond mainly if the consultant sends comments.,Danışman yorum gönderirse lütfen çoğunlukla yanıt verin.,general-english
similarly,benzer şekilde,"An adverb meaning “benzer şekilde”, used to describe how or when an action is done.",Please respond similarly if the consultant sends comments.,Danışman yorum gönderirse lütfen benzer şekilde yanıt verin.,general-english
slightly,hafifçe / biraz,"An adverb meaning “hafifçe / biraz”, used to describe how or when an action is done.",Please respond slightly if the consultant sends comments.,Danışman yorum gönderirse lütfen hafifçe yanıt verin.,general-english
typical,tipik,"An adjective meaning “tipik”, used to describe a condition, issue, status or requirement.",This is a typical point in the current discussion.,"Bu, mevcut görüşmede tipik bir noktadır.",general-english
typically,tipik olarak,"An adverb meaning “tipik olarak”, used to describe how or when an action is done.",Please respond typically if the consultant sends comments.,Danışman yorum gönderirse lütfen tipik olarak yanıt verin.,general-english
usage,kullanım,"A practical English term meaning kullanım, used in daily work-life communication.",He mentioned the usage while explaining the problem.,Problemi açıklarken kullanım konusundan bahsetti.,general-english
unexpected,beklenmeyen,"A practical English term meaning beklenmeyen, used in daily work-life communication.",The unexpected item must be reviewed before the report is closed.,Beklenmeyen kalem rapor kapatılmadan önce gözden geçirilmelidir.,general-english
padlock,asma kilit,"A practical English term meaning asma kilit, used in daily work-life communication.",Please write the word padlock clearly in your notes.,Lütfen notlarına asma kilit kelimesini açıkça yaz.,general-english
camera footage,kamera footage,"A general expression meaning “kamera footage”, used in realistic EngineerOS work-life contexts.",She used the word camera footage in a clear sentence.,Bu kelimeyi açık bir cümlede kamera footage anlamında kullandı.,general-english
camera images,kamera images,"A general expression meaning “kamera images”, used in realistic EngineerOS work-life contexts.",The meaning of camera images was clear from the context.,Kamera images anlamı bağlamdan açıkça anlaşılıyordu.,general-english
communication structured cabling,iletişim yapısal cabling,"A general expression meaning “iletişim yapısal cabling”, used in realistic EngineerOS work-life contexts.",The communication structured cabling came up during a normal conversation.,Iletişim yapısal cabling konusu günlük bir konuşmada geçti.,general-english
dome cameras,kubbe / dome cameras,"A general expression meaning “kubbe / dome cameras”, used in realistic EngineerOS work-life contexts.",He mentioned the dome cameras while explaining the problem.,Problemi açıklarken kubbe konusundan bahsetti.,general-english
external cameras,harici / dış cameras,"A general expression meaning “harici / dış cameras”, used in realistic EngineerOS work-life contexts.",The external cameras was important in the short discussion.,Kısa görüşmede harici önemliydi.,general-english
IP-based camera,ip-based kamera,"A general expression meaning “ip-based kamera”, used in realistic EngineerOS work-life contexts.",Please write the word IP-based camera clearly in your notes.,Lütfen notlarına ip-based kamera kelimesini açıkça yaz.,general-english
RFID reader,RFID / radyo frekanslı tanımlama reader,"A general expression meaning “RFID / radyo frekanslı tanımlama reader”, used in realistic EngineerOS work-life contexts.",The RFID reader is important for clear communication at work.,"RFID, iş yerinde net iletişim için önemlidir.",general-english
RFID tagging,RFID / radyo frekanslı tanımlama tagging,"A general expression meaning “RFID / radyo frekanslı tanımlama tagging”, used in realistic EngineerOS work-life contexts.",The RFID tagging is important for clear communication at work.,"RFID, iş yerinde net iletişim için önemlidir.",general-english
security desks,güvenlik desks,"A general expression meaning “güvenlik desks”, used in realistic EngineerOS work-life contexts.",The security desks came up during a normal conversation.,Güvenlik desks konusu günlük bir konuşmada geçti.,general-english
structured cabling,yapısal kablolama,"A general expression meaning “yapısal kablolama”, used in realistic EngineerOS work-life contexts.",He mentioned the structured cabling while explaining the problem.,Problemi açıklarken yapısal kablolama konusundan bahsetti.,general-english
structured cabling installation,yapısal kablolama kurulumu,"A general expression meaning “yapısal kablolama kurulumu”, used in realistic EngineerOS work-life contexts.",The structured cabling installation was important in the short discussion.,Kısa görüşmede yapısal kablolama kurulumu önemliydi.,general-english
crossing,geçiş / kesişim,"A practical English term meaning geçiş / kesişim, used in daily work-life communication.",Crossing the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda geçiş saha yoğunluğunu önler.,general-english
campus,kampüs / tesis alanı,"A practical English term meaning kampüs / tesis alanı, used in daily work-life communication.",She used the word campus in a clear sentence.,Bu kelimeyi açık bir cümlede kampüs anlamında kullandı.,general-english
external,harici / dış,"An adjective meaning “harici / dış”, used to describe a condition, issue, status or requirement.",This is a external point in the current discussion.,"Bu, mevcut görüşmede harici bir noktadır.",general-english
internal,dahili / iç,"An adjective meaning “dahili / iç”, used to describe a condition, issue, status or requirement.",This is a internal point in the current discussion.,"Bu, mevcut görüşmede dahili bir noktadır.",general-english
