term,definition,category
road marking,"A civil term meaning yol çizgisi, used in site, drawing, installation or coordination contexts.",road & highway
bitumen,"A civil term meaning bitüm, used in site, drawing, installation or coordination contexts.",road & highway
road camber,"A civil term meaning yol eğimi (enine), used in site, drawing, installation or coordination contexts.",road & highway
shoulder (road),"A civil term meaning banket, used in site, drawing, installation or coordination contexts.",road & highway
culvert,"A civil term meaning menfez, used in site, drawing, installation or coordination contexts.",road & highway
guardrail,"A civil term meaning koruyucu bariyer, used in site, drawing, installation or coordination contexts.",road & highway
traffic sign,"A civil term meaning trafik levhası, used in site, drawing, installation or coordination contexts.",road & highway
road alignment,"A civil term meaning yol güzergahı, used in site, drawing, installation or coordination contexts.",road & highway
intersection design,"A civil term meaning kavşak tasarımı, used in site, drawing, installation or coordination contexts.",road & highway
pavement marking paint,"A civil term meaning yol çizgi boyası, used in site, drawing, installation or coordination contexts.",road & highway
subgrade compaction,"A civil term meaning alt zemin sıkıştırma, used in site, drawing, installation or coordination contexts.",road & highway
asphalt paver,"A civil term meaning asfalt serici, used in site, drawing, installation or coordination contexts.",road & highway
road roller,"A civil term meaning silindir (yol), used in site, drawing, installation or coordination contexts.",road & highway
wearing course,"A civil term meaning aşınma tabakası, used in site, drawing, installation or coordination contexts.",road & highway
binder course,"A civil term meaning binder tabakası, used in site, drawing, installation or coordination contexts.",road & highway
base course,"A civil term meaning temel tabakası, used in site, drawing, installation or coordination contexts.",road & highway
prime coat,"A civil term meaning astar tabakası, used in site, drawing, installation or coordination contexts.",road & highway
tack coat,"A civil term meaning yapışma tabakası, used in site, drawing, installation or coordination contexts.",road & highway
California bearing ratio,"A civil term meaning California taşıma oranı, used in site, drawing, installation or coordination contexts.",road & highway
road drainage,"A civil term meaning yol drenajı, used in site, drawing, installation or coordination contexts.",road & highway
expressway,"A civil term meaning otoyol / ekspres yol, used in site, drawing, installation or coordination contexts.",road & highway
interchange,"A civil term meaning kavşak (kademeli), used in site, drawing, installation or coordination contexts.",road & highway
median (road),"A civil term meaning orta refüj, used in site, drawing, installation or coordination contexts.",road & highway
footpath,"A civil term meaning yaya yolu, used in site, drawing, installation or coordination contexts.",road & highway
cycle lane,"A civil term meaning bisiklet yolu, used in site, drawing, installation or coordination contexts.",road & highway
pavement design life,"A civil term meaning kaplama tasarım ömrü, used in site, drawing, installation or coordination contexts.",road & highway
bridge deck,"A civil term meaning köprü tablası, used in site, drawing, installation or coordination contexts.",bridges
abutment,"A civil term meaning köprü ayağı (kenar), used in site, drawing, installation or coordination contexts.",bridges
pier (bridge),"A civil term meaning köprü ayağı (orta), used in site, drawing, installation or coordination contexts.",bridges
bearing (bridge),"A civil term meaning köprü mesnedi, used in site, drawing, installation or coordination contexts.",bridges
expansion joint (bridge),"A civil term meaning genleşme derzi (köprü), used in site, drawing, installation or coordination contexts.",bridges
girder,"A civil term meaning kiriş (köprü), used in site, drawing, installation or coordination contexts.",bridges
suspension bridge,"A civil term meaning asma köprü, used in site, drawing, installation or coordination contexts.",bridges
cable-stayed bridge,"A civil term meaning gergili köprü, used in site, drawing, installation or coordination contexts.",bridges
box girder,"A civil term meaning kutu kiriş, used in site, drawing, installation or coordination contexts.",bridges
bridge span,"A civil term meaning köprü açıklığı, used in site, drawing, installation or coordination contexts.",bridges
bridge foundation,"A civil term meaning köprü temeli, used in site, drawing, installation or coordination contexts.",bridges
bearing pad,"A civil term meaning mesnet yastığı, used in site, drawing, installation or coordination contexts.",bridges
bridge parapet,"A civil term meaning köprü korkuluğu, used in site, drawing, installation or coordination contexts.",bridges
launching (bridge),"A civil term meaning kaydırma yöntemi (köprü), used in site, drawing, installation or coordination contexts.",bridges
bridge inspection,"A civil term meaning köprü muayenesi, used in site, drawing, installation or coordination contexts.",bridges
survey,"A civil term meaning harita/arazi ölçümü, used in site, drawing, installation or coordination contexts.",surveying
surveyor,"A civil term meaning harita mühendisi / ölçmen, used in site, drawing, installation or coordination contexts.",surveying
total station,"A civil term meaning total station cihazı, used in site, drawing, installation or coordination contexts.",surveying
theodolite,"A civil term meaning teodolit, used in site, drawing, installation or coordination contexts.",surveying
level (instrument),"A civil term meaning nivo aleti, used in site, drawing, installation or coordination contexts.",surveying
benchmark,"A civil term meaning röper noktası, used in site, drawing, installation or coordination contexts.",surveying
setting out,"A civil term meaning aplikasyon (imalat öncesi işaretleme), used in site, drawing, installation or coordination contexts.",surveying
coordinate system,"A civil term meaning koordinat sistemi, used in site, drawing, installation or coordination contexts.",surveying
elevation (survey),"A civil term meaning kot (arazi), used in site, drawing, installation or coordination contexts.",surveying
contour line,"A civil term meaning eş yükselti eğrisi, used in site, drawing, installation or coordination contexts.",surveying
topographic survey,"A civil term meaning topografik harita, used in site, drawing, installation or coordination contexts.",surveying
GPS survey,"A civil term meaning GPS ölçümü, used in site, drawing, installation or coordination contexts.",surveying
as-built survey,"A civil term meaning yapıldığı gibi ölçüm, used in site, drawing, installation or coordination contexts.",surveying
triangulation,"A civil term meaning triangülasyon, used in site, drawing, installation or coordination contexts.",surveying
traverse survey,"A civil term meaning poligon ölçümü, used in site, drawing, installation or coordination contexts.",surveying
digital terrain model,"A civil term meaning sayısal arazi modeli, used in site, drawing, installation or coordination contexts.",surveying
laser scanning (survey),"A civil term meaning lazer tarama, used in site, drawing, installation or coordination contexts.",surveying
drone survey,"A civil term meaning drone ile ölçüm, used in site, drawing, installation or coordination contexts.",surveying
drainage,"A civil term meaning drenaj, used in site, drawing, installation or coordination contexts.",water & drainage
stormwater,"A civil term meaning yağmur suyu, used in site, drawing, installation or coordination contexts.",water & drainage
sewer pipe,"A civil term meaning kanalizasyon borusu, used in site, drawing, installation or coordination contexts.",water & drainage
catch basin,"A civil term meaning yağmur suyu ızgarası, used in site, drawing, installation or coordination contexts.",water & drainage
culvert pipe,"A civil term meaning menfez borusu, used in site, drawing, installation or coordination contexts.",water & drainage
gravity sewer,"A civil term meaning cazibeli kanalizasyon, used in site, drawing, installation or coordination contexts.",water & drainage
water main,"A civil term meaning ana su hattı, used in site, drawing, installation or coordination contexts.",water & drainage
potable water system,"A civil term meaning içme suyu sistemi, used in site, drawing, installation or coordination contexts.",water & drainage
sewage treatment plant,"A civil term meaning atık su arıtma tesisi, used in site, drawing, installation or coordination contexts.",water & drainage
attenuation tank,"A civil term meaning yağmur suyu depolama tankı, used in site, drawing, installation or coordination contexts.",water & drainage
french drain,"A civil term meaning fransız drenaj sistemi, used in site, drawing, installation or coordination contexts.",water & drainage
swale,"A civil term meaning yüzeysel drenaj kanalı, used in site, drawing, installation or coordination contexts.",water & drainage
pumping station,"A civil term meaning terfi merkezi / pompa istasyonu, used in site, drawing, installation or coordination contexts.",water & drainage
lift station,"A civil term meaning terfi istasyonu, used in site, drawing, installation or coordination contexts.",water & drainage
water distribution network,"A civil term meaning su dağıtım şebekesi, used in site, drawing, installation or coordination contexts.",water & drainage
hydraulic modelling,"A civil term meaning hidrolik modelleme, used in site, drawing, installation or coordination contexts.",water & drainage
flood mitigation,"A civil term meaning taşkın önleme, used in site, drawing, installation or coordination contexts.",water & drainage
attenuation pond,"A civil term meaning yağmur suyu bekletme havuzu, used in site, drawing, installation or coordination contexts.",water & drainage
sewer manhole cover,"A civil term meaning rögar kapağı, used in site, drawing, installation or coordination contexts.",water & drainage
brick,"A civil term meaning tuğla, used in site, drawing, installation or coordination contexts.",masonry
block (masonry),"A civil term meaning briket / blok, used in site, drawing, installation or coordination contexts.",masonry
bricklaying,"A civil term meaning tuğla örgü işi, used in site, drawing, installation or coordination contexts.",masonry
blockwork,"A civil term meaning blok duvar işi, used in site, drawing, installation or coordination contexts.",masonry
cavity wall,"A civil term meaning boşluklu duvar, used in site, drawing, installation or coordination contexts.",masonry
brick bond,"A civil term meaning tuğla örgü düzeni, used in site, drawing, installation or coordination contexts.",masonry
lintel,"A civil term meaning lento, used in site, drawing, installation or coordination contexts.",masonry
damp proof course,"A civil term meaning nem yalıtım bandı, used in site, drawing, installation or coordination contexts.",masonry
pointing (masonry),"A civil term meaning derz doldurma, used in site, drawing, installation or coordination contexts.",masonry
stone masonry,"A civil term meaning taş duvarcılık, used in site, drawing, installation or coordination contexts.",masonry
mortar joint,"A civil term meaning harç derzi, used in site, drawing, installation or coordination contexts.",masonry
parging,"A civil term meaning sıva (koruyucu kaplama), used in site, drawing, installation or coordination contexts.",masonry
efflorescence,"A civil term meaning tuzlanma (duvar yüzeyi), used in site, drawing, installation or coordination contexts.",masonry
waterproofing membrane,"A civil term meaning su yalıtım membranı, used in site, drawing, installation or coordination contexts.",waterproofing
bituminous membrane,"A civil term meaning bitümlü membran, used in site, drawing, installation or coordination contexts.",waterproofing
damp proofing,"A civil term meaning nem yalıtımı, used in site, drawing, installation or coordination contexts.",waterproofing
flashing (waterproofing),"A civil term meaning su yalıtım eteği, used in site, drawing, installation or coordination contexts.",waterproofing
leak test (waterproofing),"A civil term meaning sızdırmazlık testi, used in site, drawing, installation or coordination contexts.",waterproofing
waterstop,"A civil term meaning su tutucu bant, used in site, drawing, installation or coordination contexts.",waterproofing
vapour barrier,"A civil term meaning buhar kesici, used in site, drawing, installation or coordination contexts.",waterproofing
liquid applied membrane,"A civil term meaning sıvı uygulanan membran, used in site, drawing, installation or coordination contexts.",waterproofing
torch-applied membrane,"A civil term meaning alevle uygulanan membran, used in site, drawing, installation or coordination contexts.",waterproofing
water ingress,"A civil term meaning su sızması, used in site, drawing, installation or coordination contexts.",waterproofing
negative side waterproofing,"A civil term meaning negatif yönlü su yalıtımı, used in site, drawing, installation or coordination contexts.",waterproofing
roof waterproofing,"A civil term meaning çatı su yalıtımı, used in site, drawing, installation or coordination contexts.",waterproofing
basement waterproofing,"A civil term meaning bodrum su yalıtımı, used in site, drawing, installation or coordination contexts.",waterproofing
bill of quantities,"A civil term meaning keşif özeti, used in site, drawing, installation or coordination contexts.",quantity surveying
quantity surveyor,"A civil term meaning keşif mühendisi / metraj uzmanı, used in site, drawing, installation or coordination contexts.",quantity surveying
unit rate,"A civil term meaning birim fiyat, used in site, drawing, installation or coordination contexts.",quantity surveying
cost estimate,"A civil term meaning maliyet tahmini, used in site, drawing, installation or coordination contexts.",quantity surveying
interim payment,"A civil term meaning hakediş, used in site, drawing, installation or coordination contexts.",quantity surveying
variation order,"A civil term meaning iş değişikliği emri, used in site, drawing, installation or coordination contexts.",quantity surveying
progress claim,"A civil term meaning hakediş talebi, used in site, drawing, installation or coordination contexts.",quantity surveying
provisional sum,"A civil term meaning muhtemel bedel, used in site, drawing, installation or coordination contexts.",quantity surveying
measurement (quantity),"A civil term meaning metraj / ölçüm, used in site, drawing, installation or coordination contexts.",quantity surveying
cost overrun,"A civil term meaning maliyet aşımı, used in site, drawing, installation or coordination contexts.",quantity surveying
value engineering (civil),"A civil term meaning değer mühendisliği, used in site, drawing, installation or coordination contexts.",quantity surveying
preliminary cost estimate,"A civil term meaning ön maliyet tahmini, used in site, drawing, installation or coordination contexts.",quantity surveying
final account,"A civil term meaning kesin hesap, used in site, drawing, installation or coordination contexts.",quantity surveying
cost breakdown structure,"A civil term meaning maliyet dağılım yapısı, used in site, drawing, installation or coordination contexts.",quantity surveying
payment certificate,"A civil term meaning ödeme belgesi, used in site, drawing, installation or coordination contexts.",quantity surveying
rate analysis,"A civil term meaning birim fiyat analizi, used in site, drawing, installation or coordination contexts.",quantity surveying
crane (construction),"A civil term meaning vinç (inşaat), used in site, drawing, installation or coordination contexts.",construction equipment
tower crane,"A civil term meaning kule vinç, used in site, drawing, installation or coordination contexts.",construction equipment
mobile crane,"A civil term meaning mobil vinç, used in site, drawing, installation or coordination contexts.",construction equipment
concrete mixer,"A civil term meaning beton karıştırıcı, used in site, drawing, installation or coordination contexts.",construction equipment
scaffold,"A civil term meaning iskele, used in site, drawing, installation or coordination contexts.",construction equipment
hoist (construction),"A civil term meaning kaldırma platformu, used in site, drawing, installation or coordination contexts.",construction equipment
generator (site),"A civil term meaning jeneratör (saha), used in site, drawing, installation or coordination contexts.",construction equipment
dump truck,"A civil term meaning damperli kamyon, used in site, drawing, installation or coordination contexts.",construction equipment
piling rig,"A civil term meaning kazık makinesi, used in site, drawing, installation or coordination contexts.",construction equipment
pile hammer,"A civil term meaning kazık çakma çekici, used in site, drawing, installation or coordination contexts.",construction equipment
batching plant,"A civil term meaning santral (beton), used in site, drawing, installation or coordination contexts.",construction equipment
boom pump,"A civil term meaning bomlu beton pompası, used in site, drawing, installation or coordination contexts.",construction equipment
telehandler,"A civil term meaning teleskopik yükleyici, used in site, drawing, installation or coordination contexts.",construction equipment
scissor lift,"A civil term meaning makaslı platform, used in site, drawing, installation or coordination contexts.",construction equipment
site manager,"A civil term meaning şantiye şefi, used in site, drawing, installation or coordination contexts.",site management
construction schedule,"A civil term meaning inşaat programı, used in site, drawing, installation or coordination contexts.",site management
critical path,"A civil term meaning kritik yol, used in site, drawing, installation or coordination contexts.",site management
progress report,"A civil term meaning ilerleme raporu, used in site, drawing, installation or coordination contexts.",site management
site instruction,"A civil term meaning saha talimatı, used in site, drawing, installation or coordination contexts.",site management
method statement,"A civil term meaning iş metodu beyanı, used in site, drawing, installation or coordination contexts.",site management
site logistics plan,"A civil term meaning saha lojistik planı, used in site, drawing, installation or coordination contexts.",site management
subcontractor (civil),"A civil term meaning taşeron, used in site, drawing, installation or coordination contexts.",site management
construction sequence,"A civil term meaning inşaat sırası, used in site, drawing, installation or coordination contexts.",site management
milestone,"A civil term meaning kilometre taşı (proje), used in site, drawing, installation or coordination contexts.",site management
delay claim,"A civil term meaning gecikme talebi, used in site, drawing, installation or coordination contexts.",site management
as-built drawing,"A civil term meaning yapıldığı gibi çizim, used in site, drawing, installation or coordination contexts.",site management
Gantt chart,"A civil term meaning Gantt şeması, used in site, drawing, installation or coordination contexts.",site management
look-ahead schedule,"A civil term meaning ileriye dönük program, used in site, drawing, installation or coordination contexts.",site management
site diary,"A civil term meaning şantiye günlüğü, used in site, drawing, installation or coordination contexts.",site management
weekly progress meeting,"A civil term meaning haftalık ilerleme toplantısı, used in site, drawing, installation or coordination contexts.",site management
resource allocation,"A civil term meaning kaynak dağılımı, used in site, drawing, installation or coordination contexts.",site management
float (schedule),"A civil term meaning bolluk (program), used in site, drawing, installation or coordination contexts.",site management
inspection request,"A civil term meaning muayene talebi, used in site, drawing, installation or coordination contexts.",quality control
nonconformance report,"A civil term meaning uygunsuzluk raporu, used in site, drawing, installation or coordination contexts.",quality control
quality control checklist,"A civil term meaning kalite kontrol kontrol listesi, used in site, drawing, installation or coordination contexts.",quality control
material test certificate,"A civil term meaning malzeme test sertifikası, used in site, drawing, installation or coordination contexts.",quality control
witness test,"A civil term meaning gözlemli test, used in site, drawing, installation or coordination contexts.",quality control
hold point (civil),"A civil term meaning durdurma noktası, used in site, drawing, installation or coordination contexts.",quality control
core sample test,"A civil term meaning karot numunesi testi, used in site, drawing, installation or coordination contexts.",quality control
slump flow test,"A civil term meaning çökme yayılma testi, used in site, drawing, installation or coordination contexts.",quality control
rebound hammer test,"A civil term meaning geri sıçrama çekici testi, used in site, drawing, installation or coordination contexts.",quality control
building code,"A civil term meaning yapı yönetmeliği, used in site, drawing, installation or coordination contexts.",standards & codes
design code,"A civil term meaning tasarım yönetmeliği, used in site, drawing, installation or coordination contexts.",standards & codes
Eurocode,"A civil term meaning Eurocode, used in site, drawing, installation or coordination contexts.",standards & codes
seismic code,"A civil term meaning deprem yönetmeliği, used in site, drawing, installation or coordination contexts.",standards & codes
load combination,"A civil term meaning yük kombinasyonu, used in site, drawing, installation or coordination contexts.",standards & codes
design load,"A civil term meaning tasarım yükü, used in site, drawing, installation or coordination contexts.",standards & codes
live load,"A civil term meaning hareketli yük, used in site, drawing, installation or coordination contexts.",standards & codes
dead load,"A civil term meaning sabit yük, used in site, drawing, installation or coordination contexts.",standards & codes
wind load,"A civil term meaning rüzgar yükü, used in site, drawing, installation or coordination contexts.",standards & codes
seismic load,"A civil term meaning deprem yükü, used in site, drawing, installation or coordination contexts.",standards & codes
ultimate limit state,"A civil term meaning nihai sınır durumu, used in site, drawing, installation or coordination contexts.",standards & codes
serviceability limit state,"A civil term meaning kullanılabilirlik sınır durumu, used in site, drawing, installation or coordination contexts.",standards & codes
partial safety factor,"A civil term meaning kısmi güvenlik katsayısı, used in site, drawing, installation or coordination contexts.",standards & codes
characteristic strength,"A civil term meaning karakteristik dayanım, used in site, drawing, installation or coordination contexts.",standards & codes
design working life,"A civil term meaning tasarım ömrü, used in site, drawing, installation or coordination contexts.",standards & codes
utility trench,"A civil term meaning altyapı hendeği, used in site, drawing, installation or coordination contexts.",utilities
cable duct,"A civil term meaning kablo kanalı, used in site, drawing, installation or coordination contexts.",utilities
underground services,"A civil term meaning yeraltı tesisatı, used in site, drawing, installation or coordination contexts.",utilities
utility relocation,"A civil term meaning altyapı taşıma işi, used in site, drawing, installation or coordination contexts.",utilities
service crossing,"A civil term meaning hat geçişi, used in site, drawing, installation or coordination contexts.",utilities
manhole cover (utility),"A civil term meaning altyapı rögar kapağı, used in site, drawing, installation or coordination contexts.",utilities
service duct bank,"A civil term meaning hat kanalı grubu, used in site, drawing, installation or coordination contexts.",utilities
contract (civil),"A civil term meaning sözleşme, used in site, drawing, installation or coordination contexts.",contracts & claims
FIDIC contract,"A civil term meaning FIDIC sözleşmesi, used in site, drawing, installation or coordination contexts.",contracts & claims
extension of time,"A civil term meaning süre uzatımı, used in site, drawing, installation or coordination contexts.",contracts & claims
liquidated damages,"A civil term meaning gecikme cezası, used in site, drawing, installation or coordination contexts.",contracts & claims
defects liability period,"A civil term meaning kusur sorumluluk süresi, used in site, drawing, installation or coordination contexts.",contracts & claims
practical completion,"A civil term meaning pratik tamamlanma, used in site, drawing, installation or coordination contexts.",contracts & claims
retention (contract),"A civil term meaning teminat kesintisi, used in site, drawing, installation or coordination contexts.",contracts & claims
performance bond,"A civil term meaning performans teminatı, used in site, drawing, installation or coordination contexts.",contracts & claims
advance payment,"A civil term meaning avans ödemesi, used in site, drawing, installation or coordination contexts.",contracts & claims
payment schedule,"A civil term meaning ödeme takvimi, used in site, drawing, installation or coordination contexts.",contracts & claims
building,"A civil term meaning bina, used in site, drawing, installation or coordination contexts.",civil / building elements
wall,"A civil term meaning duvar, used in site, drawing, installation or coordination contexts.",civil / building elements
floor (structure),"A civil term meaning döşeme, used in site, drawing, installation or coordination contexts.",civil / building elements
roof,"A civil term meaning çatı, used in site, drawing, installation or coordination contexts.",civil / building elements
staircase,"A civil term meaning merdiven, used in site, drawing, installation or coordination contexts.",civil / building elements
civil engineer,"A civil term meaning inşaat mühendisi, used in site, drawing, installation or coordination contexts.",civil / building elements
construction site,"A civil term meaning inşaat sahası, used in site, drawing, installation or coordination contexts.",civil / building elements
blueprint,"A civil term meaning yapı planı / proje çizimi, used in site, drawing, installation or coordination contexts.",civil / building elements
construction drawing,"A civil term meaning inşaat çizimi, used in site, drawing, installation or coordination contexts.",civil / building elements
site clearance,"A civil term meaning saha temizliği, used in site, drawing, installation or coordination contexts.",civil / building elements
renovation,"A civil term meaning renovasyon / tadilat, used in site, drawing, installation or coordination contexts.",civil / building elements
structural engineer,"A civil term meaning yapı mühendisi, used in site, drawing, installation or coordination contexts.",civil / building elements
load-bearing wall,"A civil term meaning taşıyıcı duvar, used in site, drawing, installation or coordination contexts.",civil / building elements
civil works,"A civil term meaning inşaat işleri, used in site, drawing, installation or coordination contexts.",civil / building elements
temporary works,"A civil term meaning geçici işler, used in site, drawing, installation or coordination contexts.",civil / building elements
permanent works,"A civil term meaning kalıcı işler, used in site, drawing, installation or coordination contexts.",civil / building elements
hoarding (site),"A civil term meaning şantiye çevre perdesi, used in site, drawing, installation or coordination contexts.",civil / building elements
site boundary,"A civil term meaning saha sınırı, used in site, drawing, installation or coordination contexts.",civil / building elements
access road (site),"A civil term meaning saha erişim yolu, used in site, drawing, installation or coordination contexts.",civil / building elements
construction permit,"A civil term meaning inşaat ruhsatı, used in site, drawing, installation or coordination contexts.",civil / building elements
occupancy permit,"A civil term meaning iskan ruhsatı, used in site, drawing, installation or coordination contexts.",civil / building elements
civil design,"A civil term meaning inşaat tasarımı, used in site, drawing, installation or coordination contexts.",civil / building elements
structural drawing,"A civil term meaning statik çizim, used in site, drawing, installation or coordination contexts.",civil / building elements
foundation design,"A civil term meaning temel tasarımı, used in site, drawing, installation or coordination contexts.",civil / building elements
civil BOQ,"A civil term meaning inşaat metraj listesi, used in site, drawing, installation or coordination contexts.",civil / building elements
site engineer,"A civil term meaning saha mühendisi, used in site, drawing, installation or coordination contexts.",civil / building elements
resident engineer,"A civil term meaning yerinde mühendis, used in site, drawing, installation or coordination contexts.",civil / building elements
civil works package,"A civil term meaning inşaat işleri paketi, used in site, drawing, installation or coordination contexts.",civil / building elements
earthquake resistant design,"A civil term meaning depreme dayanıklı tasarım, used in site, drawing, installation or coordination contexts.",civil / building elements
structural integrity,"A civil term meaning yapısal bütünlük, used in site, drawing, installation or coordination contexts.",civil / building elements
progress photograph,"A civil term meaning ilerleme fotoğrafı, used in site, drawing, installation or coordination contexts.",civil / building elements
as-built documentation (civil),"A civil term meaning yapıldığı gibi belgeler, used in site, drawing, installation or coordination contexts.",civil / building elements
bricklayer,"A civil term meaning duvarcı, used in site, drawing, installation or coordination contexts.",civil / building elements
carpenter,"A civil term meaning marangoz, used in site, drawing, installation or coordination contexts.",civil / building elements
labourer,"A civil term meaning işçi, used in site, drawing, installation or coordination contexts.",civil / building elements
foreman,"A civil term meaning ustabaşı, used in site, drawing, installation or coordination contexts.",civil / building elements
site visit,"A civil term meaning saha ziyareti, used in site, drawing, installation or coordination contexts.",civil / building elements
construction material,"A civil term meaning inşaat malzemesi, used in site, drawing, installation or coordination contexts.",civil / building elements
building height,"A civil term meaning bina yüksekliği, used in site, drawing, installation or coordination contexts.",civil / building elements
floor plan,"A civil term meaning kat planı, used in site, drawing, installation or coordination contexts.",civil / building elements
elevation (drawing),"A civil term meaning cephe görünüşü, used in site, drawing, installation or coordination contexts.",civil / building elements
cross section (drawing),"A civil term meaning enine kesit, used in site, drawing, installation or coordination contexts.",civil / building elements
site inspection,"A civil term meaning saha denetimi, used in site, drawing, installation or coordination contexts.",civil / building elements
civil works contractor,"A civil term meaning inşaat işleri yüklenicisi, used in site, drawing, installation or coordination contexts.",civil / building elements
structural stability,"A civil term meaning yapısal kararlılık, used in site, drawing, installation or coordination contexts.",civil / building elements
civil engineering project,"A civil term meaning inşaat mühendisliği projesi, used in site, drawing, installation or coordination contexts.",civil / building elements
infrastructure project,"A civil term meaning altyapı projesi, used in site, drawing, installation or coordination contexts.",civil / building elements
public works,"A civil term meaning kamu işleri, used in site, drawing, installation or coordination contexts.",civil / building elements
civil design review,"A civil term meaning inşaat tasarım incelemesi, used in site, drawing, installation or coordination contexts.",civil / building elements
structural calculation,"A civil term meaning statik hesap, used in site, drawing, installation or coordination contexts.",civil / building elements
as-built drawing register,"A civil term meaning yapıldığı gibi çizim kayıt listesi, used in site, drawing, installation or coordination contexts.",civil / building elements
construction phase,"A civil term meaning inşaat aşaması, used in site, drawing, installation or coordination contexts.",civil / building elements
commissioning (civil),"A civil term meaning devreye alma (inşaat), used in site, drawing, installation or coordination contexts.",civil / building elements
handover certificate,"A civil term meaning teslim belgesi, used in site, drawing, installation or coordination contexts.",civil / building elements
defects list,"A civil term meaning kusur listesi, used in site, drawing, installation or coordination contexts.",civil / building elements
snag list,"A civil term meaning eksik iş listesi, used in site, drawing, installation or coordination contexts.",civil / building elements
door,"A civil term meaning kapı, used in site, drawing, installation or coordination contexts.",civil / building elements
window,"A civil term meaning pencere, used in site, drawing, installation or coordination contexts.",civil / building elements
ceiling,"A civil term meaning tavan, used in site, drawing, installation or coordination contexts.",civil / building elements
stair,"A civil term meaning merdiven basamağı, used in site, drawing, installation or coordination contexts.",civil / building elements
corridor,"A civil term meaning koridor, used in site, drawing, installation or coordination contexts.",civil / building elements
gate,"A civil term meaning kapı (dış), used in site, drawing, installation or coordination contexts.",civil / building elements
fence,"A civil term meaning çit, used in site, drawing, installation or coordination contexts.",civil / building elements
pavement (footpath),"A civil term meaning kaldırım, used in site, drawing, installation or coordination contexts.",civil / building elements
balcony,"A civil term meaning balkon, used in site, drawing, installation or coordination contexts.",civil / building elements
basement,"A civil term meaning bodrum kat, used in site, drawing, installation or coordination contexts.",civil / building elements
ground floor,"A civil term meaning zemin kat, used in site, drawing, installation or coordination contexts.",civil / building elements
site fencing,"A civil term meaning saha çiti, used in site, drawing, installation or coordination contexts.",civil / building elements
delivery note (site),"A civil term meaning teslimat fişi, used in site, drawing, installation or coordination contexts.",civil / building elements
material storage area,"A civil term meaning malzeme depolama alanı, used in site, drawing, installation or coordination contexts.",civil / building elements
tunnel,"A civil term meaning tünel, used in site, drawing, installation or coordination contexts.",tunnels & underground
tunnel boring machine,"A civil term meaning tünel açma makinesi, used in site, drawing, installation or coordination contexts.",tunnels & underground
shotcrete lining,"A civil term meaning püskürtme beton kaplama, used in site, drawing, installation or coordination contexts.",tunnels & underground
segmental lining,"A civil term meaning segmental kaplama, used in site, drawing, installation or coordination contexts.",tunnels & underground
tunnel portal,"A civil term meaning tünel ağzı, used in site, drawing, installation or coordination contexts.",tunnels & underground
NATM method,"A civil term meaning NATM yöntemi, used in site, drawing, installation or coordination contexts.",tunnels & underground
rock support,"A civil term meaning kaya desteği, used in site, drawing, installation or coordination contexts.",tunnels & underground
ventilation shaft,"A civil term meaning havalandırma bacası, used in site, drawing, installation or coordination contexts.",tunnels & underground
cut-and-cover tunnel,"A civil term meaning aç-kapa tünel, used in site, drawing, installation or coordination contexts.",tunnels & underground
underground station,"A civil term meaning yeraltı istasyonu, used in site, drawing, installation or coordination contexts.",tunnels & underground
dam,"A civil term meaning baraj, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
spillway,"A civil term meaning dolusavak, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
reservoir,"A civil term meaning rezervuar / gölet, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
embankment dam,"A civil term meaning toprak dolgu baraj, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
gravity dam,"A civil term meaning ağırlık barajı, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
intake structure,"A civil term meaning su alma yapısı, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
penstock,"A civil term meaning cebri boru, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
weir,"A civil term meaning savak, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
canal lining,"A civil term meaning kanal kaplaması, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
irrigation channel,"A civil term meaning sulama kanalı, used in site, drawing, installation or coordination contexts.",dams & hydraulic structures
quay wall,"A civil term meaning rıhtım duvarı, used in site, drawing, installation or coordination contexts.",ports & marine structures
breakwater,"A civil term meaning dalgakıran, used in site, drawing, installation or coordination contexts.",ports & marine structures
jetty,"A civil term meaning iskele, used in site, drawing, installation or coordination contexts.",ports & marine structures
caisson,"A civil term meaning keson, used in site, drawing, installation or coordination contexts.",ports & marine structures
marine pile,"A civil term meaning deniz kazığı, used in site, drawing, installation or coordination contexts.",ports & marine structures
dredging,"A civil term meaning tarama (deniz dibi), used in site, drawing, installation or coordination contexts.",ports & marine structures
berth,"A civil term meaning yanaşma yeri (gemi), used in site, drawing, installation or coordination contexts.",ports & marine structures
fender (marine),"A civil term meaning usturmaça, used in site, drawing, installation or coordination contexts.",ports & marine structures
railway track,"A civil term meaning demiryolu hattı, used in site, drawing, installation or coordination contexts.",railway works
sleeper,"A civil term meaning travers, used in site, drawing, installation or coordination contexts.",railway works
ballast (railway),"A civil term meaning balast, used in site, drawing, installation or coordination contexts.",railway works
